,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,spatially_variable
gene_0,0.874211796873622,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00032840129376798767,0.0,0.0,0.038675742574257425,1
gene_1,0.7471420012107466,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0004175455654290041,0.0,0.0,0.038675742574257425,1
gene_2,0.9106778365796268,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00043350149137732775,0.0,0.0,0.038675742574257425,1
gene_3,0.8134774007877454,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00030979361552782716,0.0,0.0,0.038675742574257425,1
gene_4,0.9322149182330135,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003131337778985989,0.0,0.0,0.038675742574257425,1
gene_5,0.7638841506313112,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00022785747956460107,0.0,0.0,0.038675742574257425,1
gene_6,0.6975539297977814,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002648622717713561,0.0,0.0,0.038675742574257425,1
gene_7,0.7112713839676483,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002168841861999739,0.0,0.0,0.038675742574257425,1
gene_8,0.6968447329292968,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00028952276803357766,0.0,0.0,0.038675742574257425,1
gene_9,0.8194943133259713,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002679259359334756,0.0,0.0,0.038675742574257425,1
gene_10,0.8472392162550719,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003662497278641391,0.0,0.0,0.038675742574257425,1
gene_11,0.6888936789356461,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003170301281706803,0.0,0.0,0.038675742574257425,1
gene_12,0.8541057966117971,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00043278886481936616,0.0,0.0,0.038675742574257425,1
gene_13,0.8764022772266283,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00030294714602516947,0.0,0.0,0.038675742574257425,1
gene_14,0.5762169645273876,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00017720858511294758,0.0,0.0,0.038675742574257425,1
gene_15,0.5042683244989725,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00015424357454983716,0.0,0.0,0.038675742574257425,1
gene_16,0.9100861691986089,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00037877766793711855,0.0,0.0,0.038675742574257425,1
gene_17,0.9239999317414195,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00033859607648176394,0.0,0.0,0.038675742574257425,1
gene_18,0.5564345132718872,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0001850193146336103,0.0,0.0,0.038675742574257425,1
gene_19,0.8986111574107256,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00030738548999706465,0.0,0.0,0.038675742574257425,1
gene_20,0.9239758343215414,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00034755209073964366,0.0,0.0,0.038675742574257425,1
gene_21,0.8732012343061037,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003060188361016516,0.0,0.0,0.038675742574257425,1
gene_22,0.8903833264775942,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003855645701061157,0.0,0.0,0.038675742574257425,1
gene_23,0.779588831521421,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00033475041432033274,0.0,0.0,0.038675742574257425,1
gene_24,0.6376484470852788,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00021732365230515608,0.0,0.0,0.038675742574257425,1
gene_25,0.7136498812747784,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00028961343065926447,0.0,0.0,0.038675742574257425,1
gene_26,0.9330796367762342,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003365660694039758,0.0,0.0,0.038675742574257425,1
gene_27,0.880326274031933,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002884159059733725,0.0,0.0,0.038675742574257425,1
gene_28,0.7824435256567632,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003015305797588075,0.0,0.0,0.038675742574257425,1
gene_29,0.4966226990979691,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.000177847104853103,0.0,0.0,0.038675742574257425,1
