,adjustedPval,spatially_variable
gene_0,1.54529413468623e-118,1
gene_1,5.73488216396466e-29,1
gene_2,0.0673205825038995,1
gene_3,1.96153890570243e-36,1
gene_4,4.75127912864127e-79,1
gene_5,1.76638786655892e-80,1
gene_6,4.98987293302026e-121,1
gene_7,1.00188759163531e-167,1
gene_8,1.5525908354095e-70,1
gene_9,3.0974415025654e-106,1
gene_10,2.19762700688902e-50,1
gene_11,3.09537125663616e-219,1
gene_12,3.06001420408659e-277,1
gene_13,2.80860048245057e-271,1
gene_14,3.8651576873632e-203,1
gene_15,3.01556756759586e-159,1
gene_16,2.08741549755849e-82,1
gene_17,4.41252568673997e-17,1
gene_18,0.0695247486292647,1
gene_19,1.11943980767583e-105,1
gene_20,8.06074863063995e-69,1
gene_21,3.44531609897771e-249,1
gene_22,2.50737197079932e-75,1
gene_23,2.13916999968989e-29,1
gene_24,3.55203047227133e-233,1
gene_25,1.94968025725505e-91,1
gene_26,2.1839014690636e-269,1
gene_27,6.68174746445808e-122,1
gene_28,5.83640340789522e-13,1
gene_29,6.53478629852918e-44,1
gene_30,2.97903040021656e-55,1
gene_31,9.53579452679676e-66,1
gene_32,4.28006908250813e-75,1
gene_33,9.99471440899701e-52,1
gene_34,6.50988711213929e-201,1
gene_35,1.17598766300734e-102,1
gene_36,3.72862132997258e-219,1
gene_37,1.540292064224e-135,1
gene_38,1.02671140831112e-30,1
gene_39,3.71373401416425e-44,1
gene_40,6.62795946718185e-17,1
gene_41,4.17008185120791e-24,1
gene_42,1.57312076256168e-59,1
gene_43,2.08500881353993e-95,1
gene_44,1.10299245515525e-58,1
gene_45,3.63563352448181e-148,1
gene_46,0.00144699983694279,1
gene_47,3.27830871245137e-22,1
gene_48,1.55039833565247e-213,1
gene_49,4.57107300334227e-48,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,0.596746542404037,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,0.596746542404037,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,0.890524455722509,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,0.513729600799667,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,0.274527104371591,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,0.115860743226913,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,0.420768747593543,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
