,pvals_adj,spatially_variable
gene_0,0.021748625142086055,1
gene_1,2.0258955754691381e-69,1
gene_2,8.098574391336561e-34,1
gene_3,2.904890646122273e-27,1
gene_4,0.001349543188760439,1
gene_5,2.2848169731371394e-39,1
gene_6,3.475268184139982e-51,1
gene_7,1.9532741471557052e-56,1
gene_8,1.1866141887841974e-92,1
gene_9,8.973655304345903e-59,1
gene_10,9.860208350235785e-75,1
gene_11,4.279057214210177e-27,1
gene_12,2.229891036033775e-06,1
gene_13,1.5573080515740664e-39,1
gene_14,2.4221901361717585e-05,1
gene_15,8.773620460018705e-105,1
gene_16,4.747207853004785e-05,1
gene_17,2.5059460469145775e-26,1
gene_18,5.79904895337526e-12,1
gene_19,9.507496964885764e-28,1
gene_20,0.013822256585605545,1
gene_21,2.5607722371528276e-13,1
gene_22,6.453069360050571e-24,1
gene_23,4.95322978274665e-40,1
gene_24,2.1620992647736322e-14,1
gene_25,0.09294293588550127,1
gene_26,1.5462947131945858e-49,1
gene_27,7.311672935948005e-55,1
gene_28,0.06810504859977431,1
gene_29,8.612048859377511e-28,1
gene_30,3.125745126179513e-31,1
gene_31,3.587417453163905e-33,1
gene_32,3.360318149064065e-20,1
gene_33,7.031454906416282e-29,1
gene_34,2.0262893763737816e-68,1
gene_35,4.093122101162654e-85,1
gene_36,6.011374503214698e-110,1
gene_37,7.987321642039947e-57,1
gene_38,2.0475696258797273e-31,1
gene_39,9.702343279282006e-68,1
gene_40,5.403903305899011e-06,1
gene_41,3.2067633744962465e-80,1
gene_42,7.009072405748832e-41,1
gene_43,1.9954420565189477e-08,1
gene_44,1.1631777254252152e-69,1
gene_45,8.877370378261128e-57,1
gene_46,1.7112889299202134e-13,1
gene_47,3.771008544011576e-90,1
gene_48,2.0511657891025065e-42,1
gene_49,6.899951652140749e-34,1
gene_50,0.42943000138929144,0
gene_51,0.3336573974691933,0
gene_52,0.5298326637751839,0
gene_53,0.7300019336606652,0
gene_54,0.5468868330168025,0
gene_55,0.6855908578741061,0
gene_56,0.4280111409729899,0
gene_57,0.5051664751438814,0
gene_58,0.4008448203038561,0
gene_59,0.6155939576020163,0
gene_60,0.19405614152826353,0
gene_61,0.24265938035921966,0
gene_62,0.6483812811725291,0
gene_63,0.6413050729775189,0
gene_64,0.014726760919911186,0
gene_65,0.8379931308071572,0
gene_66,0.31756793091584634,0
gene_67,0.8209099080810278,0
gene_68,0.49774580457739265,0
gene_69,0.38081214293798,0
gene_70,0.6413050729775189,0
gene_71,0.09549529415303104,0
gene_72,0.3808794626821093,0
gene_73,0.48245237470502494,0
gene_74,0.5795594872627612,0
gene_75,0.7240251745348208,0
gene_76,0.07396305396706698,0
gene_77,0.01653225450118353,0
gene_78,0.2873597978439936,0
gene_79,0.5994073208390358,0
gene_80,0.3379861198758583,0
gene_81,0.39850860021431056,0
gene_82,0.1863157459759327,0
gene_83,0.7917718755210528,0
gene_84,0.82334626668641,0
gene_85,0.43571403129022374,0
gene_86,0.48771893599428656,0
gene_87,0.48771893599428656,0
gene_88,0.022209486071651626,0
gene_89,0.7917718755210528,0
gene_90,0.12062288946393775,0
gene_91,0.00035915599200305907,0
gene_92,0.6401364282260138,0
gene_93,0.17180332432399445,0
gene_94,0.0662493334056717,0
gene_95,0.4443854012469481,0
gene_96,0.09582458472520824,0
gene_97,0.3808794626821093,0
gene_98,0.5829775852694843,0
gene_99,0.5298326637751839,0
gene_100,0.2862390692506017,0
gene_101,0.5702671763487527,0
gene_102,0.22931835233747994,0
gene_103,0.5795594872627612,0
gene_104,0.609230119070954,0
gene_105,0.2653369584917855,0
gene_106,0.7209036876643828,0
gene_107,0.09549529415303104,0
gene_108,0.8607848829559082,0
gene_109,0.3984929393055875,0
gene_110,0.5367275240781733,0
gene_111,0.29891739385856697,0
gene_112,0.5829775852694843,0
gene_113,0.3984929393055875,0
gene_114,0.5702671763487527,0
gene_115,0.7240251745348208,0
gene_116,0.754642812453629,0
gene_117,0.7294219489476017,0
gene_118,0.27371995937215354,0
gene_119,0.4551831497719788,0
gene_120,0.788086844100664,0
gene_121,0.4136143376167165,0
gene_122,0.43571403129022374,0
gene_123,0.8379931308071572,0
gene_124,0.8743632362411335,0
gene_125,0.42943000138929144,0
gene_126,0.6978986536592479,0
gene_127,0.7209036876643828,0
gene_128,0.3524270351039876,0
gene_129,0.7671192455800129,0
gene_130,0.6413050729775189,0
gene_131,0.29396221761854396,0
gene_132,0.8379931308071572,0
gene_133,0.39850860021431056,0
gene_134,0.12062288946393775,0
gene_135,0.5894817300889387,0
gene_136,0.29396221761854396,0
gene_137,0.6384906434061288,0
gene_138,0.43571403129022374,0
gene_139,0.5702671763487527,0
gene_140,0.829780015620597,0
gene_141,0.3984929393055875,0
gene_142,0.48771893599428656,0
gene_143,0.023025230053958685,0
gene_144,0.3533121499384038,0
gene_145,0.799754533837614,0
gene_146,0.7917718755210528,0
gene_147,0.8830164373360214,0
gene_148,0.5795594872627612,0
gene_149,0.8381278885042812,0
gene_150,0.6978986536592479,0
gene_151,0.09481327016052903,0
gene_152,0.7389402352664082,0
gene_153,0.3555029037255334,0
gene_154,0.31077485107984143,0
gene_155,0.48771893599428656,0
gene_156,0.754642812453629,0
gene_157,0.5994073208390358,0
gene_158,0.5383465004456587,0
gene_159,0.7735667463893865,0
