,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,spatially_variable
gene_0,0.9093030060006349,4,11.377976770644345,0.07803031070251204,110.43776190066205,-4.835270591312911,0.7079633387878328,SE,2500,3.777376091215341e-05,0.004773956763165061,0.003933429718017578,-189.57933975789894,-2481.9254446687,2592.363206569362,0.0,0.0,1
gene_1,0.9643901001881059,4,6.090403061383408,0.034131364367687975,-198.22791002939357,-9.139346893562832,2.2435730726058174,SE,2500,8.400667686761301e-07,0.0005549473324412668,0.003377199172973633,427.7520041022123,-2905.3108108820325,2707.082900852639,0.0,0.0,1
gene_2,0.9458793979055953,4,6.090403061383408,0.05288865151780763,-518.3529752073496,-7.76494568468387,1.8246807177778452,SE,2500,2.1728247835514023e-06,0.0006689661401986489,0.0032837390899658203,1068.0021344581244,-3571.3505888675872,3052.9976136602377,0.0,0.0,1
gene_3,0.8551392128480382,4,1.7450505811270067,0.16824028985925565,-1049.9257859638915,12.045456060308027,8.847489403566279,SE,2500,1.0948649541571568e-06,6.649785743330414e-05,0.0025224685668945312,2131.147755971208,-2870.4596778438436,1820.533891879952,0.0,0.0,1
gene_4,0.8978418770674412,4,0.9340906222436361,0.11358442211090639,-1971.8072438463614,-5.353828143052477,5.827467040289407,SE,2500,6.948285206749203e-07,7.230971433484253e-05,0.003347158432006836,3974.910671736148,-3114.188113534953,1142.3808696885917,0.0,0.0,1
gene_5,0.9491116231991213,4,0.9340906222436361,0.053523811488115566,-2060.1178434269987,20.93311706948025,83.44525943880022,SE,2500,3.0481721786445437e-07,0.000104798400807252,0.006524562835693359,4151.531870897423,-3541.217872528065,1481.1000291010664,0.0,0.0,1
gene_6,0.9356970077825473,4,0.9340906222436361,0.06860277255463665,-1963.1674372918058,-19.641327330203247,73.23252734089603,SE,2500,3.403759460593024e-07,7.726593168266057e-05,0.005738496780395508,3957.6310586270365,-3467.8397215141954,1504.6722842223896,0.0,0.0,1
gene_7,0.8121781986975724,4,1.7450505811270067,0.2296733804572762,-2325.7902788635056,-4.342065747888028,1.9756112502412546,SE,2500,2.088623281789815e-06,8.830917493484519e-05,0.0025005340576171875,4682.876741770437,-3666.041329961663,1340.2510510981574,0.0,0.0,1
gene_8,0.8593909276820929,4,1.7450505811270067,0.16249446305668672,-1996.8737731758283,-5.760376989242032,2.8145161484060495,SE,2500,1.0861324605342822e-06,6.892346581967647e-05,0.002902507781982422,4025.0437303950816,-3808.741523204669,1811.8677500288409,0.0,0.0,1
gene_9,0.7833320884128466,4,1.7450505811270067,0.2747038010668173,-1668.9075095781686,-2.3025729720273076,0.7619297849374475,SE,2500,2.319126400946319e-06,8.176670239503587e-05,0.002912282943725586,3369.1112031997623,-3092.6030537250617,1423.695544146893,0.0,0.0,1
gene_10,0.9482590193831238,4,0.9340906222436361,0.054469501329871974,-2442.389254413334,-14.304320624511,39.50917768882804,SE,2500,3.705618627215877e-07,0.0001236545083357049,0.005733489990234375,4916.074692870094,-3647.520205193159,1205.130950779825,0.0,0.0,1
gene_11,0.8228195172383409,4,6.090403061383408,0.1990430128999939,-971.6927305332849,0.6787181254112682,0.562611422097197,SE,2500,1.4160676649806842e-05,0.0006472876699566789,0.0033011436462402344,1974.681645109995,-3905.5229785135607,2933.830247980276,0.0,0.0,1
gene_12,0.8219609477575656,4,6.090403061383408,0.20021643785157217,-1853.606242774812,-36.81280887618439,10.603091056979427,SE,2500,2.048257781560232e-05,0.0009301579766942798,0.0033245086669921875,3738.508669593049,-3573.5933318050256,1719.9870890302136,0.0,0.0,1
gene_13,0.816238771835023,4,3.2600707663430897,0.21981082507378322,-1104.2823354923012,4.006430998462565,0.788757272897589,SE,2500,3.5426684138868508e-06,0.00015419170457688582,0.003326416015625,2239.8608550280273,-3611.798984874674,2507.5166493823726,0.0,0.0,1
gene_14,0.979825825297955,4,6.090403061383408,0.01903191705310582,-465.93210428659313,6.8691026308541225,3.8662949895075878,SE,2500,3.9466725846340916e-07,0.0007630778650681045,0.0040700435638427734,963.1603926166114,-3269.179962928417,2803.2478586418238,0.0,0.0,1
gene_15,0.8405066308816983,4,3.2600707663430897,0.18527375343647048,-634.146187293929,-17.237630087020264,6.088903786221119,SE,2500,3.0494269507934896e-06,0.00016124880050823358,0.003353595733642578,1299.5885586312831,-3000.097058998098,2365.950871704169,0.0,0.0,1
gene_16,0.9374749961956056,4,11.377976770644345,0.05217627893271772,-1176.0723904346387,18.10944496366993,3.6715810980667665,SE,2500,1.7979007895702655e-05,0.0042867189395393935,0.00331878662109375,2383.4409649127024,-3562.8392114763556,2386.766821041717,0.0,0.0,1
gene_17,0.9826720394525924,4,6.090403061383408,0.01629950788398444,-365.82675994804094,-6.946564889951504,4.118273378907189,SE,2500,2.1610719245445898e-07,0.0005598224787241026,0.004080057144165039,762.949703939507,-3449.320677666875,3083.493917718834,0.0,0.0,1
gene_18,0.8518829078044025,4,1.7450505811270067,0.17267969054113905,-2089.6894387308157,-9.819288830422922,6.516875581545885,SE,2500,1.252268125115813e-06,7.36312078797577e-05,0.002616405487060547,4210.675061505057,-3577.1042554964124,1487.4148167655967,0.0,0.0,1
gene_19,0.9280052635717734,4,11.377976770644345,0.06069171031647539,-487.33687889577277,-23.598163768263667,3.052232055003147,SE,2500,2.5930382677298298e-05,0.004838734854988068,0.003699064254760742,1005.9699418349707,-4181.512767767879,3694.1758888721065,0.0,0.0,1
gene_20,0.9536933017829453,4,6.090403061383408,0.04488184734810646,-775.5774705614472,-5.472794501459425,2.210197833952495,SE,2500,1.378394885603538e-06,0.0005620044017017077,0.003313779830932617,1582.4511251663196,-3370.0889523100886,2594.5114817486415,0.0,0.0,1
gene_21,0.9236293585770394,4,6.090403061383408,0.07643008631536698,-497.56025865391075,29.75878643581576,7.334735718633828,SE,2500,3.84739528914339e-06,0.0006489564372004369,0.0036721229553222656,1026.4167013512467,-4667.690011052928,4170.129752399017,0.0,0.0,1
