,pval,spatially_variable
gene_0,0.99,1
gene_1,0.99,1
gene_2,0.99,1
gene_3,0.99,1
gene_4,0.99,1
gene_5,0.280593286229969,1
gene_6,0.99,1
gene_7,0.99,1
gene_8,0.99,1
gene_9,0.99,1
gene_10,0.99,1
gene_11,0.99,1
gene_12,0.99,1
gene_13,0.99,1
gene_14,0.99,1
gene_15,0.99,1
gene_16,0.99,1
gene_17,0.99,1
gene_18,0.99,1
gene_19,0.99,1
gene_20,0.99,1
gene_21,0.99,1
gene_22,0.99,1
gene_23,0.99,1
gene_24,0.99,1
gene_25,0.99,1
gene_26,0.99,1
gene_27,1.07469588783715e-13,1
gene_28,0.99,1
gene_29,0.99,1
gene_30,0.99,1
gene_31,0.99,1
gene_32,0.99,1
gene_33,0.99,1
gene_34,0.99,1
gene_35,0.99,1
gene_36,0.99,1
gene_37,0.99,1
gene_38,0.99,1
gene_39,0.99,1
gene_40,0.99,1
gene_41,0.99,1
gene_42,0.99,1
gene_43,0.99,1
gene_44,0.99,1
gene_45,0.99,1
gene_46,0.99,1
gene_47,0.99,1
gene_48,0.99,1
gene_49,0.99,1
gene_50,0.99,0
gene_51,0.99,0
gene_52,0.99,0
gene_53,0.99,0
gene_54,0.99,0
gene_55,0.99,0
gene_56,0.99,0
gene_57,0.99,0
gene_58,0.99,0
gene_59,0.99,0
gene_60,0.99,0
gene_61,0.99,0
gene_62,0.99,0
gene_63,0.99,0
gene_64,0.99,0
gene_65,0.99,0
gene_66,0.99,0
gene_67,0.99,0
gene_68,0.99,0
gene_69,0.99,0
gene_70,0.99,0
gene_71,0.99,0
gene_72,0.99,0
gene_73,0.99,0
gene_74,0.99,0
gene_75,0.99,0
gene_76,0.99,0
gene_77,0.99,0
gene_78,0.99,0
gene_79,0.99,0
gene_80,0.99,0
gene_81,0.99,0
gene_82,0.99,0
gene_83,0.99,0
gene_84,0.99,0
gene_85,0.99,0
gene_86,0.99,0
gene_87,0.99,0
gene_88,0.99,0
gene_89,0.99,0
gene_90,0.99,0
gene_91,0.99,0
gene_92,0.99,0
gene_93,0.99,0
gene_94,0.99,0
gene_95,0.99,0
gene_96,0.99,0
gene_97,0.99,0
gene_98,0.99,0
gene_99,0.99,0
gene_100,0.99,0
gene_101,0.99,0
gene_102,0.99,0
gene_103,0.99,0
gene_104,0.99,0
gene_105,0.99,0
gene_106,0.99,0
gene_107,0.99,0
gene_108,0.99,0
gene_109,0.99,0
gene_110,0.99,0
gene_111,0.99,0
gene_112,0.99,0
gene_113,0.99,0
gene_114,0.99,0
gene_115,0.99,0
gene_116,0.99,0
gene_117,0.99,0
gene_118,0.99,0
gene_119,0.99,0
gene_120,0.99,0
gene_121,0.99,0
gene_122,0.99,0
gene_123,0.99,0
gene_124,0.99,0
gene_125,0.99,0
gene_126,0.99,0
gene_127,0.99,0
gene_128,0.99,0
gene_129,0.99,0
gene_130,0.99,0
gene_131,0.99,0
gene_132,0.99,0
gene_133,0.99,0
gene_134,0.99,0
gene_135,0.99,0
gene_136,0.99,0
gene_137,0.99,0
gene_138,0.99,0
gene_139,0.99,0
gene_140,0.99,0
gene_141,0.99,0
gene_142,0.99,0
gene_143,0.99,0
gene_144,0.99,0
gene_145,0.99,0
gene_146,0.99,0
gene_147,0.99,0
gene_148,0.99,0
gene_149,0.99,0
gene_150,0.99,0
gene_151,0.99,0
gene_152,0.99,0
gene_153,0.99,0
gene_154,0.99,0
gene_155,0.99,0
gene_156,0.99,0
gene_157,0.99,0
gene_158,0.99,0
gene_159,0.99,0
gene_160,0.99,0
gene_161,0.99,0
gene_162,0.99,0
gene_163,0.99,0
gene_164,0.99,0
gene_165,0.99,0
gene_166,0.99,0
gene_167,0.99,0
gene_168,0.99,0
gene_169,0.99,0
gene_170,0.99,0
gene_171,0.99,0
gene_172,0.99,0
gene_173,0.99,0
gene_174,0.99,0
gene_175,0.99,0
gene_176,0.99,0
gene_177,0.99,0
gene_178,0.99,0
gene_179,0.99,0
gene_180,0.99,0
gene_181,0.99,0
gene_182,0.99,0
gene_183,0.99,0
gene_184,0.99,0
gene_185,0.99,0
gene_186,0.99,0
gene_187,0.99,0
gene_188,0.99,0
gene_189,0.99,0
gene_190,0.99,0
gene_191,0.99,0
gene_192,0.99,0
gene_193,0.99,0
gene_194,0.99,0
gene_195,0.99,0
gene_196,0.99,0
gene_197,0.99,0
gene_198,0.99,0
gene_199,0.99,0
gene_200,0.99,0
gene_201,0.99,0
gene_202,0.99,0
gene_203,0.99,0
gene_204,0.99,0
gene_205,0.99,0
gene_206,0.99,0
gene_207,0.99,0
gene_208,0.99,0
gene_209,0.99,0
gene_210,0.99,0
gene_211,0.99,0
gene_212,0.99,0
gene_213,0.99,0
gene_214,0.99,0
gene_215,0.99,0
gene_216,0.99,0
gene_217,0.99,0
gene_218,0.99,0
gene_219,0.99,0
gene_220,0.99,0
gene_221,0.99,0
gene_222,0.99,0
gene_223,0.99,0
gene_224,0.99,0
gene_225,0.99,0
gene_226,0.99,0
gene_227,0.99,0
gene_228,0.99,0
gene_229,0.99,0
gene_230,0.99,0
gene_231,0.99,0
gene_232,0.99,0
gene_233,0.99,0
gene_234,0.99,0
gene_235,0.99,0
gene_236,0.99,0
gene_237,0.99,0
gene_238,0.99,0
gene_239,0.99,0
gene_240,0.99,0
gene_241,0.99,0
gene_242,0.99,0
gene_243,0.99,0
gene_244,0.99,0
gene_245,0.99,0
gene_246,0.99,0
gene_247,0.99,0
gene_248,0.99,0
gene_249,0.99,0
