,pvals_adj,spatially_variable
gene_0,5.788845235505467e-05,1
gene_1,2.965478549416113e-49,1
gene_2,1.2789778573710773e-06,1
gene_3,0.00024209912430629577,1
gene_4,1.6151359525654814e-30,1
gene_5,7.122448911106738e-40,1
gene_6,0.04868630444814399,1
gene_7,1.1992640100137821e-61,1
gene_8,1.0670747431099119e-15,1
gene_9,6.605285143155943e-57,1
gene_10,0.0038957362662583235,1
gene_11,9.215284852036671e-91,1
gene_12,8.420903739916816e-24,1
gene_13,3.5602134887930305e-08,1
gene_14,4.119250781295281e-56,1
gene_15,6.695340426632222e-49,1
gene_16,3.157018409875187e-20,1
gene_17,1.15604811669372e-68,1
gene_18,4.392613749084321e-30,1
gene_19,0.7173603660774822,1
gene_20,0.023269345176711514,1
gene_21,9.859998732885546e-08,1
gene_22,1.0517816420973873e-06,1
gene_23,0.004950079771877506,1
gene_24,6.273926422534448e-08,1
gene_25,3.241619986730503e-37,1
gene_26,2.3661057648604977e-19,1
gene_27,1.2883535381769651e-19,1
gene_28,1.5332015734476967e-78,1
gene_29,3.3676168582951907e-66,1
gene_30,1.200574146961693e-61,1
gene_31,2.9321257334239e-11,1
gene_32,0.00011442872076832359,1
gene_33,1.5903591908851245e-57,1
gene_34,4.450417961344355e-41,1
gene_35,3.253040977626228e-39,1
gene_36,1.0697039113393069e-21,1
gene_37,3.5684074864891235e-29,1
gene_38,8.618342714962248e-82,1
gene_39,1.2222742449659537e-19,1
gene_40,7.907539090062997e-33,1
gene_41,3.7068525273508356e-34,1
gene_42,2.3351370896022254e-40,1
gene_43,3.4758939386757116e-56,1
gene_44,0.6040158599666019,1
gene_45,0.3464377105892868,1
gene_46,4.11311424041994e-07,1
gene_47,1.3078370496970772e-66,1
gene_48,3.232069251742507e-44,1
gene_49,1.2746584817973024e-58,1
gene_50,0.697355952739928,0
gene_51,0.3823246424042509,0
gene_52,0.7458531236643419,0
gene_53,0.6824889386836794,0
gene_54,0.031103229266592487,0
gene_55,0.8460632331458222,0
gene_56,0.7783598420017522,0
gene_57,0.7465292308248732,0
gene_58,0.20619535194564037,0
gene_59,0.2636867439527297,0
gene_60,0.2962650469866037,0
gene_61,0.5329975855831344,0
gene_62,0.33556008395714376,0
gene_63,0.29229802713499237,0
gene_64,0.49578114507662424,0
gene_65,0.5133714567215072,0
gene_66,0.6821429858117771,0
gene_67,0.8497671514782468,0
gene_68,0.42745049658749323,0
gene_69,0.6535717791078917,0
gene_70,0.5514918424376615,0
gene_71,0.5665988847467583,0
gene_72,0.6691012648419776,0
