,pval_sim_fdr_bh,spatially_variable
gene_0,0.03694399290675336,1
gene_1,0.03694399290675336,1
gene_2,0.03694399290675336,1
gene_3,0.03694399290675336,1
gene_4,0.03694399290675336,1
gene_5,0.03694399290675336,1
gene_6,0.03694399290675336,1
gene_7,0.03694399290675336,1
gene_8,0.03694399290675336,1
gene_9,0.03694399290675336,1
gene_10,0.03694399290675336,1
gene_11,0.03694399290675336,1
gene_12,0.03694399290675336,1
gene_13,0.03694399290675336,1
gene_14,0.03694399290675336,1
gene_15,0.03694399290675336,1
gene_16,0.03694399290675336,1
gene_17,0.03694399290675336,1
gene_18,0.03694399290675336,1
gene_19,0.03694399290675336,1
gene_20,0.03694399290675336,1
gene_21,0.03694399290675336,1
gene_22,0.03694399290675336,1
gene_23,0.03694399290675336,1
gene_24,0.03694399290675336,1
gene_25,0.03694399290675336,1
gene_26,0.03694399290675336,1
gene_27,0.03694399290675336,1
gene_28,0.03694399290675336,1
gene_29,0.03694399290675336,1
gene_30,0.03694399290675336,1
gene_31,0.03694399290675336,1
gene_32,0.03694399290675336,1
gene_33,0.03694399290675336,1
gene_34,0.03694399290675336,1
gene_35,0.03694399290675336,1
gene_36,0.03694399290675336,1
gene_37,0.03694399290675336,1
gene_38,0.03694399290675336,1
gene_39,0.03694399290675336,1
gene_40,0.03694399290675336,1
gene_41,0.03694399290675336,1
gene_42,0.03694399290675336,1
gene_43,0.03694399290675336,1
gene_44,0.03694399290675336,1
gene_45,0.03694399290675336,1
gene_46,0.03694399290675336,1
gene_47,0.03694399290675336,1
gene_48,0.03694399290675336,1
gene_49,0.03694399290675336,1
gene_50,0.3587315253264457,0
gene_51,0.2142041127189642,0
gene_52,0.30185945423810673,0
gene_53,0.30185945423810673,0
gene_54,0.46983865053171986,0
gene_55,0.0668985817500669,0
gene_56,0.13905884970519525,0
gene_57,0.3536067892503536,0
gene_58,0.3899362538993626,0
gene_59,0.3992334717342702,0
gene_60,0.03694399290675336,0
gene_61,0.4247466166735016,0
gene_62,0.49904183966783777,0
gene_63,0.2142041127189642,0
gene_64,0.1547029702970297,0
gene_65,0.198019801980198,0
gene_66,0.46983865053171986,0
gene_67,0.4837983798379838,0
gene_68,0.3834890531306652,0
gene_69,0.4610755193166376,0
gene_70,0.2142041127189642,0
gene_71,0.49303710858890765,0
gene_72,0.4883896461395018,0
gene_73,0.49303710858890765,0
gene_74,0.1547029702970297,0
gene_75,0.4928590204153159,0
gene_76,0.435981098109811,0
gene_77,0.492995357627049,0
gene_78,0.3899362538993626,0
gene_79,0.03694399290675336,0
gene_80,0.3143171460003143,0
