,adjustedPval,spatially_variable
gene_0,4.66157846956634e-213,1
gene_1,2.41323331249973e-67,1
gene_10,2.35106558830242e-37,1
gene_100,1,0
gene_101,0.303080172098676,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,2.73889351594185e-120,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,1.47040597415891e-42,1
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,7.02494282316001e-84,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_14,1.01239927890708e-45,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_15,5.02392856001156e-87,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_16,5.38481138234864e-191,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,1.47057719292868e-51,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,2.97754879184158e-101,1
gene_180,1,0
gene_181,0.995915352219112,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_19,5.79375353184485e-293,1
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,1.04795209174917e-130,1
gene_20,4.12869214544991e-136,1
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_21,4.63457724360577e-186,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,0.348113214990225,1
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,6.543367922238e-161,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,0.0348155452512798,0
gene_24,1.69553136023594e-69,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,7.5902270929827e-206,1
gene_26,4.77584013939021e-163,1
gene_27,1.2175205858732e-266,1
gene_28,1.04930000266009e-198,1
gene_29,8.4228713946179e-07,1
gene_3,3.86205404591407e-74,1
gene_30,2.16302128763972e-126,1
gene_31,5.20616255955177e-50,1
gene_32,6.87846560701511e-87,1
gene_33,3.34032122664837e-115,1
gene_34,1.61071880215798e-46,1
gene_35,5.77464521367412e-132,1
gene_36,1.87381644214477e-174,1
gene_37,2.4334076167017e-45,1
gene_38,5.43447405503544e-28,1
gene_39,2.4266423179753e-160,1
gene_4,2.78727303885519e-85,1
gene_40,7.59532793156113e-75,1
gene_41,3.63530116661428e-94,1
gene_42,3.87454979389597e-169,1
gene_43,7.6062282131781e-34,1
gene_44,7.30660226458415e-82,1
gene_45,7.91254456291021e-85,1
gene_46,3.57839116601517e-132,1
gene_47,7.55540081976649e-07,1
gene_48,4.10709869444478e-13,1
gene_49,1.21856471536194e-238,1
gene_5,2.57654955697072e-51,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,0.247791659795682,0
gene_58,1,0
gene_59,1,0
gene_6,1.64328709070866e-40,1
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,4.20218272549629e-22,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,0.594346654326697,0
gene_79,1,0
gene_8,3.39079654963758e-179,1
gene_80,1,0
gene_81,1,0
gene_82,0.594346654326697,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,1.91474475367064e-133,1
gene_90,1,0
gene_91,0.0145065305578902,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,0.288010903169497,0
gene_99,1,0
