,pvals_adj,spatially_variable
gene_0,0.19298003040534795,1
gene_1,0.8791269266108304,1
gene_2,0.7643855978238141,1
gene_3,0.2947918918399798,1
gene_4,1.814081745547852e-09,1
gene_5,8.484840107957415e-85,1
gene_6,5.686566906344413e-29,1
gene_7,0.053059946692576486,1
gene_8,4.662809793737926e-22,1
gene_9,0.09757815320355387,1
gene_10,9.022913860409868e-32,1
gene_11,6.458507669240819e-16,1
gene_12,2.3063806697578068e-12,1
gene_13,3.7095991152186952e-34,1
gene_14,6.233584807670499e-31,1
gene_15,1.681094538036184e-64,1
gene_16,1.1536397658619584e-36,1
gene_17,0.016058949301701278,1
gene_18,0.2985762009239165,1
gene_19,5.4335147455646486e-105,1
gene_20,1.1107232619124804e-47,1
gene_21,8.439395501277453e-29,1
gene_22,0.12594922061704972,1
gene_23,5.440284923863999e-83,1
gene_24,0.7643855978238141,1
gene_25,3.887349969096109e-27,1
gene_26,2.3787950166778385e-27,1
gene_27,1.3567089153660133e-10,1
gene_28,0.19187630587316723,1
gene_29,0.23220206759230747,1
gene_30,1.1464394641713017e-40,1
gene_31,3.652538428566613e-27,1
gene_32,0.1108732412513135,1
gene_33,0.1562623758337693,1
gene_34,0.05400138043594025,1
gene_35,7.76763967529896e-14,1
gene_36,2.39298827201945e-59,1
gene_37,7.790700513576999e-64,1
gene_38,8.554139059072446e-12,1
gene_39,1.6711827747432805e-97,1
gene_40,4.1965406535933176e-10,1
gene_41,4.87259289000028e-07,1
gene_42,0.009505183668792817,1
gene_43,0.20788755171768375,1
gene_44,0.288852895163763,1
gene_45,7.002615124622502e-59,1
gene_46,2.3725076339647016e-27,1
gene_47,1.4538777212504882e-08,1
gene_48,0.20788755171768375,1
gene_49,9.046370861852239e-77,1
gene_50,0.8791269266108304,0
gene_51,9.52029985756035e-10,0
gene_52,0.4766175258306559,0
gene_53,0.33402388183362347,0
gene_54,0.7478361363787502,0
gene_55,0.6520843355476637,0
gene_56,0.9226596645605,0
gene_57,0.9181518784507372,0
gene_58,0.016058949301701278,0
gene_59,0.3197718089377346,0
gene_60,0.5764243501886416,0
gene_61,0.5760931227415786,0
gene_62,0.7478361363787502,0
gene_63,0.7478361363787502,0
gene_64,0.6809517615748047,0
gene_65,0.9323402844912035,0
gene_66,0.8791269266108304,0
gene_67,0.8351399328709445,0
gene_68,0.8791269266108304,0
gene_69,0.6864988839391757,0
gene_70,0.9181518784507372,0
gene_71,0.8791269266108304,0
gene_72,0.5560392598863187,0
gene_73,0.5764243501886416,0
gene_74,0.8879992274918664,0
gene_75,0.8692425150640934,0
gene_76,0.5212565855983191,0
gene_77,0.618234623229973,0
gene_78,0.5760931227415786,0
gene_79,0.6449937461867276,0
gene_80,0.33402388183362347,0
gene_81,0.8791269266108304,0
gene_82,0.9226596645605,0
gene_83,0.8833903869472384,0
gene_84,0.8917668580377277,0
gene_85,0.21699544097083015,0
gene_86,0.47524799528860845,0
gene_87,0.6520843355476637,0
gene_88,0.8833903869472384,0
gene_89,0.8722548501946042,0
gene_90,0.9226596645605,0
gene_91,0.2985762009239165,0
gene_92,0.840855526268348,0
gene_93,0.3197718089377346,0
gene_94,0.9634870585763836,0
gene_95,0.5300685140634005,0
gene_96,0.7643855978238141,0
gene_97,0.7529188580871826,0
gene_98,0.8917668580377277,0
gene_99,0.540384446259147,0
gene_100,0.5160298133863132,0
gene_101,0.8113143904553488,0
gene_102,0.9186096306068198,0
gene_103,0.1562623758337693,0
gene_104,0.5764243501886416,0
gene_105,0.5560392598863187,0
gene_106,0.8791269266108304,0
gene_107,0.4320533499546458,0
gene_108,0.9049990503130505,0
gene_109,0.6520843355476637,0
gene_110,0.4132007657756856,0
gene_111,0.33105430268456215,0
gene_112,0.9969913020675788,0
gene_113,0.7478361363787502,0
gene_114,0.9323402844912035,0
gene_115,0.6520843355476637,0
gene_116,0.9323402844912035,0
gene_117,0.6422420059216747,0
gene_118,0.8833903869472384,0
gene_119,0.8791269266108304,0
gene_120,0.9969913020675788,0
gene_121,0.8199571658672072,0
gene_122,0.6520843355476637,0
gene_123,0.785362171909503,0
gene_124,0.2985762009239165,0
gene_125,0.9323402844912035,0
gene_126,0.8113143904553488,0
gene_127,0.7643855978238141,0
gene_128,0.22463684438618384,0
gene_129,0.6864988839391757,0
gene_130,0.8791269266108304,0
gene_131,0.8791269266108304,0
gene_132,0.0018667878372870116,0
gene_133,0.3266379132232107,0
gene_134,0.9181518784507372,0
gene_135,0.8199571658672072,0
gene_136,0.32702893973445524,0
gene_137,0.25558670197076394,0
gene_138,0.8106816905813574,0
gene_139,0.8833903869472384,0
