,fdrs,spatially_variable
gene_0,1.0,1
gene_1,2.3602654867633317e-240,1
gene_2,1.0,1
gene_3,1.0,1
gene_4,4.210025210863641e-192,1
gene_5,1.045059758736456e-26,1
gene_6,0.0,1
gene_7,1.0,1
gene_8,7.967187162842362e-129,1
gene_9,3.652949520313789e-219,1
gene_10,1.0,1
gene_11,4.832134017592826e-136,1
gene_12,6.515316443963581e-179,1
gene_13,3.739547113754172e-118,1
gene_14,0.0,1
gene_15,1.2887191397039596e-21,1
gene_16,0.0,1
gene_17,1.0,1
gene_18,1.0,1
gene_19,1.545689485609984e-35,1
gene_20,6.798420109018828e-10,1
gene_21,5.589339817876037e-285,1
gene_22,0.0,1
gene_23,2.6272612441123325e-198,1
gene_24,0.0,1
gene_25,1.0,1
gene_26,0.0,1
gene_27,0.0,1
gene_28,1.327993597119114e-05,1
gene_29,2.01625253124846e-244,1
gene_30,0.008123285842312956,1
gene_31,3.218965855652353e-86,1
gene_32,0.0,1
gene_33,1.4157287474033377e-75,1
gene_34,0.0,1
gene_35,1.0,1
gene_36,1.7135518483577977e-32,1
gene_37,0.0,1
gene_38,3.20990284345525e-92,1
gene_39,6.714851681775517e-211,1
gene_40,5.70992148340817e-20,1
gene_41,1.0,1
gene_42,9.498480917383403e-239,1
gene_43,0.0,1
gene_44,1.0,1
gene_45,1.4309982985242559e-61,1
gene_46,2.462486878178392e-123,1
gene_47,6.56861426728226e-239,1
gene_48,1.0280489474107525e-154,1
gene_49,1.8093502568393784e-83,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
gene_144,1.0,0
gene_145,1.0,0
gene_146,1.0,0
gene_147,1.0,0
gene_148,1.0,0
gene_149,1.0,0
gene_150,1.0,0
gene_151,1.0,0
gene_152,1.0,0
gene_153,1.0,0
gene_154,1.0,0
gene_155,1.0,0
gene_156,1.0,0
gene_157,1.0,0
gene_158,1.0,0
gene_159,1.0,0
gene_160,1.0,0
gene_161,1.0,0
gene_162,1.0,0
gene_163,1.0,0
gene_164,1.0,0
gene_165,1.0,0
gene_166,1.0,0
gene_167,1.0,0
gene_168,1.0,0
gene_169,1.0,0
gene_170,1.0,0
gene_171,1.0,0
gene_172,1.0,0
gene_173,1.0,0
gene_174,1.0,0
gene_175,1.0,0
gene_176,1.0,0
gene_177,1.0,0
gene_178,1.0,0
gene_179,1.0,0
gene_180,1.0,0
gene_181,1.0,0
gene_182,1.0,0
gene_183,1.0,0
gene_184,1.0,0
gene_185,1.0,0
gene_186,1.0,0
gene_187,1.0,0
gene_188,1.0,0
gene_189,1.0,0
gene_190,1.0,0
gene_191,1.0,0
gene_192,1.0,0
gene_193,1.0,0
gene_194,1.0,0
gene_195,1.0,0
gene_196,1.0,0
gene_197,1.0,0
gene_198,1.0,0
gene_199,1.0,0
gene_200,1.0,0
gene_201,1.0,0
gene_202,1.0,0
gene_203,1.0,0
gene_204,1.0,0
gene_205,1.0,0
gene_206,1.0,0
gene_207,1.0,0
gene_208,1.0,0
gene_209,1.0,0
gene_210,1.0,0
gene_211,1.0,0
gene_212,1.0,0
gene_213,1.0,0
gene_214,1.0,0
gene_215,1.0,0
gene_216,1.0,0
gene_217,1.0,0
gene_218,1.0,0
gene_219,1.0,0
gene_220,1.0,0
gene_221,1.0,0
gene_222,1.0,0
gene_223,1.0,0
gene_224,1.0,0
gene_225,1.0,0
gene_226,1.0,0
gene_227,1.0,0
gene_228,1.0,0
gene_229,1.0,0
gene_230,1.0,0
gene_231,1.0,0
gene_232,1.0,0
gene_233,1.0,0
gene_234,1.0,0
gene_235,1.0,0
gene_236,1.0,0
gene_237,1.0,0
gene_238,1.0,0
gene_239,1.0,0
gene_240,1.0,0
gene_241,1.0,0
gene_242,1.0,0
gene_243,1.0,0
gene_244,1.0,0
gene_245,1.0,0
gene_246,1.0,0
gene_247,1.0,0
gene_248,1.0,0
gene_249,1.0,0
