,qval,spatially_variable
gene_0,0.0,1
gene_1,0.0,1
gene_2,0.0,1
gene_3,0.0,1
gene_4,0.0,1
gene_5,0.0,1
gene_6,0.0,1
gene_7,0.0,1
gene_8,0.0,1
gene_9,0.0,1
gene_10,0.0,1
gene_11,0.0,1
gene_12,0.0,1
gene_13,0.0,1
gene_14,0.0,1
gene_15,0.0,1
gene_16,0.0,1
gene_17,0.0,1
gene_18,0.0,1
gene_19,0.0,1
gene_20,0.0,1
gene_21,0.0,1
gene_22,0.0,1
gene_23,0.0,1
gene_24,0.0,1
gene_25,0.0,1
gene_26,0.0,1
gene_27,0.0,1
gene_28,0.0,1
gene_29,0.0,1
gene_30,0.0,1
gene_31,0.0,1
gene_32,0.0,1
gene_33,0.0,1
gene_34,0.0,1
gene_35,0.0,1
gene_36,0.0,1
gene_37,0.0,1
gene_38,0.0,1
gene_39,0.0,1
gene_40,0.0,1
gene_41,0.0,1
gene_42,0.0,1
gene_43,0.0,1
gene_44,0.0,1
gene_45,0.0,1
gene_46,0.0,1
gene_47,0.0,1
gene_48,0.0,1
gene_49,0.0,1
gene_50,0.992021812195805,0
gene_51,0.9068467741335466,0
gene_52,0.9068467741335466,0
gene_53,0.992021812195805,0
gene_54,0.9638635545863619,0
gene_55,0.992021812195805,0
gene_56,0.688091727234491,0
gene_57,0.44598397154794833,0
gene_58,0.992021812195805,0
gene_59,0.992021812195805,0
gene_60,0.992021812195805,0
gene_61,0.992021812195805,0
gene_62,0.9068467741335466,0
gene_63,0.992021812195805,0
gene_64,0.992021812195805,0
gene_65,0.992021812195805,0
gene_66,0.992021812195805,0
gene_67,0.992021812195805,0
gene_68,0.992021812195805,0
gene_69,0.992021812195805,0
gene_70,0.992021812195805,0
gene_71,0.992021812195805,0
gene_72,0.992021812195805,0
gene_73,0.992021812195805,0
gene_74,0.992021812195805,0
gene_75,0.992021812195805,0
gene_76,0.992021812195805,0
gene_77,0.992021812195805,0
gene_78,0.992021812195805,0
gene_79,0.5061821677811775,0
gene_80,0.992021812195805,0
gene_81,0.992021812195805,0
gene_82,0.3436475758795499,0
gene_83,0.47667645589996305,0
gene_84,0.992021812195805,0
gene_85,0.9502405589318352,0
gene_86,0.992021812195805,0
gene_87,0.9068467741335466,0
gene_88,0.9068467741335466,0
gene_89,0.9068467741335466,0
gene_90,0.992021812195805,0
gene_91,0.08224514339921284,0
gene_92,0.992021812195805,0
gene_93,0.9068467741335466,0
gene_94,0.992021812195805,0
gene_95,0.992021812195805,0
gene_96,0.688091727234491,0
gene_97,0.48650274286850353,0
gene_98,0.992021812195805,0
gene_99,0.992021812195805,0
gene_100,0.688091727234491,0
gene_101,0.31819563623202557,0
gene_102,0.8766942901155969,0
gene_103,0.992021812195805,0
gene_104,0.6089291663265183,0
gene_105,0.9068467741335466,0
gene_106,0.992021812195805,0
gene_107,0.9068467741335466,0
gene_108,0.992021812195805,0
gene_109,0.843754783110299,0
gene_110,0.8403679281634326,0
gene_111,0.992021812195805,0
gene_112,0.9068467741335466,0
gene_113,0.992021812195805,0
gene_114,0.992021812195805,0
gene_115,0.992021812195805,0
gene_116,0.992021812195805,0
gene_117,0.992021812195805,0
gene_118,0.992021812195805,0
gene_119,0.9068467741335466,0
gene_120,0.992021812195805,0
gene_121,0.992021812195805,0
gene_122,0.992021812195805,0
gene_123,0.31819563623202557,0
gene_124,0.992021812195805,0
gene_125,0.992021812195805,0
gene_126,0.992021812195805,0
gene_127,0.5061821677811775,0
gene_128,0.992021812195805,0
gene_129,0.992021812195805,0
gene_130,0.992021812195805,0
gene_131,0.992021812195805,0
gene_132,0.9068467741335466,0
gene_133,0.9689640784575634,0
gene_134,0.992021812195805,0
gene_135,0.7051979809302845,0
gene_136,0.992021812195805,0
gene_137,0.992021812195805,0
gene_138,0.992021812195805,0
gene_139,0.992021812195805,0
gene_140,0.983291141115245,0
gene_141,0.992021812195805,0
gene_142,0.992021812195805,0
gene_143,0.992021812195805,0
gene_144,0.992021812195805,0
gene_145,0.8113912517468485,0
gene_146,0.992021812195805,0
gene_147,0.992021812195805,0
gene_148,0.992021812195805,0
gene_149,0.992021812195805,0
gene_150,0.992021812195805,0
gene_151,0.992021812195805,0
gene_152,0.992021812195805,0
gene_153,0.992021812195805,0
gene_154,0.9068467741335466,0
gene_155,0.992021812195805,0
gene_156,0.992021812195805,0
gene_157,0.8497812569387311,0
gene_158,0.992021812195805,0
gene_159,0.8167369395143234,0
gene_160,0.992021812195805,0
gene_161,0.992021812195805,0
gene_162,0.5969108927891584,0
gene_163,0.992021812195805,0
gene_164,0.992021812195805,0
gene_165,0.992021812195805,0
gene_166,0.31819563623202557,0
gene_167,0.992021812195805,0
gene_168,0.5969108927891584,0
gene_169,0.5061821677811775,0
gene_170,0.8766942901155969,0
gene_171,0.992021812195805,0
gene_172,0.992021812195805,0
gene_173,0.8314720045165445,0
gene_174,0.992021812195805,0
gene_175,0.688091727234491,0
gene_176,0.8246259219281878,0
gene_177,0.992021812195805,0
gene_178,0.688091727234491,0
gene_179,0.9068467741335466,0
gene_180,0.992021812195805,0
gene_181,0.992021812195805,0
gene_182,0.9068467741335466,0
gene_183,0.992021812195805,0
gene_184,0.9068467741335466,0
gene_185,0.992021812195805,0
gene_186,0.992021812195805,0
gene_187,0.9068467741335466,0
gene_188,0.992021812195805,0
gene_189,0.992021812195805,0
gene_190,0.992021812195805,0
gene_191,0.992021812195805,0
gene_192,0.992021812195805,0
gene_193,0.992021812195805,0
gene_194,0.6642382438193203,0
gene_195,0.992021812195805,0
gene_196,0.8820429753700243,0
