,pval_sim_fdr_bh,spatially_variable
gene_0,0.0375037503750375,1
gene_1,0.0375037503750375,1
gene_2,0.0375037503750375,1
gene_3,0.0375037503750375,1
gene_4,0.0375037503750375,1
gene_5,0.0375037503750375,1
gene_6,0.0375037503750375,1
gene_7,0.0375037503750375,1
gene_8,0.0375037503750375,1
gene_9,0.0375037503750375,1
gene_10,0.0375037503750375,1
gene_11,0.0375037503750375,1
gene_12,0.0375037503750375,1
gene_13,0.0375037503750375,1
gene_14,0.0375037503750375,1
gene_15,0.0375037503750375,1
gene_16,0.0375037503750375,1
gene_17,0.0375037503750375,1
gene_18,0.0375037503750375,1
gene_19,0.0375037503750375,1
gene_20,0.0375037503750375,1
gene_21,0.0375037503750375,1
gene_22,0.0375037503750375,1
gene_23,0.0375037503750375,1
gene_24,0.0375037503750375,1
gene_25,0.0375037503750375,1
gene_26,0.0375037503750375,1
gene_27,0.0375037503750375,1
gene_28,0.0375037503750375,1
gene_29,0.0375037503750375,1
gene_30,0.0375037503750375,1
gene_31,0.0375037503750375,1
gene_32,0.0375037503750375,1
gene_33,0.0375037503750375,1
gene_34,0.0375037503750375,1
gene_35,0.0375037503750375,1
gene_36,0.0375037503750375,1
gene_37,0.0375037503750375,1
gene_38,0.0375037503750375,1
gene_39,0.0375037503750375,1
gene_40,0.0375037503750375,1
gene_41,0.0375037503750375,1
gene_42,0.0375037503750375,1
gene_43,0.0375037503750375,1
gene_44,0.0375037503750375,1
gene_45,0.0375037503750375,1
gene_46,0.0375037503750375,1
gene_47,0.0375037503750375,1
gene_48,0.0375037503750375,1
gene_49,0.0375037503750375,1
gene_50,0.4448601542181868,0
gene_51,0.16822070556570223,0
gene_52,0.16822070556570223,0
gene_53,0.23025558369790466,0
gene_54,0.4167508587593453,0
gene_55,0.09282178217821782,0
gene_56,0.0375037503750375,0
gene_57,0.11001100110011001,0
gene_58,0.0668985817500669,0
gene_59,0.23487750234877502,0
gene_60,0.39289643250039286,0
gene_61,0.3818953323903819,0
gene_62,0.4229066122692671,0
gene_63,0.3114549865582585,0
gene_64,0.0375037503750375,0
gene_65,0.1485148514851485,0
gene_66,0.23487750234877502,0
gene_67,0.11001100110011001,0
gene_68,0.39012053379250966,0
