,qval,spatially_variable
gene_0,1.3877787807814457e-15,1
gene_1,0.0,1
gene_2,0.0,1
gene_3,0.0,1
gene_4,3.981234477892473e-09,1
gene_5,0.0,1
gene_6,0.0,1
gene_7,0.0,1
gene_8,0.0,1
gene_9,0.0,1
gene_10,0.0,1
gene_11,0.0,1
gene_12,0.0,1
gene_13,0.0,1
gene_14,0.0,1
gene_15,0.0,1
gene_16,0.0,1
gene_17,0.0,1
gene_18,1.292539445039926e-08,1
gene_19,0.0,1
gene_20,0.2607894490473768,1
gene_21,7.079808315829274e-10,1
gene_22,0.0,1
gene_23,7.11681426041767e-16,1
gene_24,0.0,1
gene_25,0.0001600015429685057,1
gene_26,7.581964157039812e-11,1
gene_27,0.0,1
gene_28,0.0019607474620048195,1
gene_29,0.0,1
gene_30,0.0,1
gene_31,0.0,1
gene_32,0.0,1
gene_33,0.0,1
gene_34,0.0,1
gene_35,0.0,1
gene_36,0.0,1
gene_37,0.0,1
gene_38,0.0,1
gene_39,2.386974456475793e-09,1
gene_40,3.601455177442581e-13,1
gene_41,0.0,1
gene_42,0.0,1
gene_43,0.00011605387043329648,1
gene_44,0.0,1
gene_45,0.0,1
gene_46,0.0,1
gene_47,0.0,1
gene_48,0.0,1
gene_49,0.0,1
gene_50,0.973369449884585,0
gene_51,0.973369449884585,0
gene_52,0.973369449884585,0
gene_53,0.9289374206575503,0
gene_54,0.973369449884585,0
gene_55,0.973369449884585,0
gene_56,0.973369449884585,0
gene_57,0.973369449884585,0
gene_58,0.973369449884585,0
gene_59,0.973369449884585,0
gene_60,0.973369449884585,0
gene_61,0.973369449884585,0
gene_62,0.973369449884585,0
gene_63,0.973369449884585,0
gene_64,0.973369449884585,0
gene_65,0.4825540992591873,0
gene_66,0.9557047086863488,0
gene_67,0.973369449884585,0
gene_68,0.973369449884585,0
gene_69,0.973369449884585,0
gene_70,0.973369449884585,0
gene_71,0.973369449884585,0
gene_72,0.7304514609333038,0
gene_73,0.973369449884585,0
gene_74,0.973369449884585,0
gene_75,0.973369449884585,0
gene_76,0.973369449884585,0
gene_77,0.973369449884585,0
gene_78,0.973369449884585,0
gene_79,0.973369449884585,0
gene_80,0.973369449884585,0
gene_81,0.973369449884585,0
gene_82,0.973369449884585,0
gene_83,0.973369449884585,0
gene_84,0.973369449884585,0
gene_85,0.9414335172235558,0
gene_86,0.7953715433116223,0
gene_87,0.973369449884585,0
gene_88,0.4181567425963437,0
gene_89,0.973369449884585,0
gene_90,0.973369449884585,0
gene_91,0.973369449884585,0
gene_92,0.973369449884585,0
gene_93,0.8433175224444627,0
gene_94,0.973369449884585,0
gene_95,0.973369449884585,0
gene_96,0.973369449884585,0
gene_97,0.973369449884585,0
gene_98,0.973369449884585,0
gene_99,0.653486254453694,0
gene_100,0.973369449884585,0
gene_101,0.973369449884585,0
gene_102,0.973369449884585,0
gene_103,0.973369449884585,0
gene_104,0.973369449884585,0
gene_105,0.973369449884585,0
