,adjustedPval,spatially_variable
gene_0,3.54646739908672e-28,1
gene_1,8.01712455482057e-220,1
gene_2,2.21407532097139e-53,1
gene_3,4.95008814136631e-19,1
gene_4,1.22982599455154e-65,1
gene_5,2.27287000233989e-194,1
gene_6,3.87535548544634e-57,1
gene_7,8.10621071393869e-233,1
gene_8,1.40241266727771e-08,1
gene_9,2.36842336159206e-69,1
gene_10,3.50365789093153e-06,1
gene_11,7.89727124978601e-214,1
gene_12,2.33844898696691e-30,1
gene_13,2.21074408335173e-23,1
gene_14,5.57380702630708e-84,1
gene_15,2.33089465702803e-61,1
gene_16,3.86789121168682e-20,1
gene_17,2.88227378502665e-44,1
gene_18,5.59912967910567e-195,1
gene_19,5.45506307504988e-86,1
gene_20,6.91558044486229e-59,1
gene_21,1.63534221342243e-45,1
gene_22,6.42946541164625e-141,1
gene_23,1.47171919101858e-98,1
gene_24,7.06971637048184e-178,1
gene_25,2.53206317832235e-16,1
gene_26,1.42604581106246e-29,1
gene_27,2.85675425830998e-15,1
gene_28,7.35229013021758e-116,1
gene_29,4.77225022759631e-101,1
gene_30,5.70835073877435e-73,1
gene_31,2.88354314361749e-18,1
gene_32,1.92480356500257e-75,1
gene_33,6.53103109428134e-193,1
gene_34,7.78034688767452e-74,1
gene_35,3.12552838963894e-117,1
gene_36,5.66503179814176e-39,1
gene_37,0.51684621344127,1
gene_38,4.71446142607078e-165,1
gene_39,1.97640429536724e-16,1
gene_40,1.04144804188881e-60,1
gene_41,2.9184036681019e-19,1
gene_42,1.96849836192216e-48,1
gene_43,1.54133048819928e-62,1
gene_44,1.01500091757833e-17,1
gene_45,5.79641323639668e-10,1
gene_46,2.46983416842919e-94,1
gene_47,2.39487601290727e-72,1
gene_48,9.17062128971572e-40,1
gene_49,9.04890700674069e-211,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,0.790805204815278,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,0.557350625114668,0
gene_154,1,0
gene_155,1,0
gene_156,0.753852625844627,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,0.557350625114668,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,0.504734701329418,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,0.585605917941664,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
