,adjusted_pvalue,spatially_variable
gene_0,2.06455778258237e-15,1
gene_1,3.52766152483379e-15,1
gene_2,2.06455778258237e-15,1
gene_3,6.77311012768087e-15,1
gene_4,3.52766152483379e-15,1
gene_5,3.52766152483379e-15,1
gene_6,2.06455778258237e-15,1
gene_7,2.06455778258237e-15,1
gene_8,2.06455778258237e-15,1
gene_9,2.06455778258237e-15,1
gene_10,2.06455778258237e-15,1
gene_11,2.06455778258237e-15,1
gene_12,2.06455778258237e-15,1
gene_13,3.52766152483379e-15,1
gene_14,2.06455778258237e-15,1
gene_15,2.06455778258237e-15,1
gene_16,2.06455778258237e-15,1
gene_17,2.06455778258237e-15,1
gene_18,2.06455778258237e-15,1
gene_19,2.06455778258237e-15,1
gene_20,2.06455778258237e-15,1
gene_21,2.06455778258237e-15,1
gene_22,3.52766152483379e-15,1
gene_23,2.06455778258237e-15,1
gene_24,2.06455778258237e-15,1
gene_25,2.06455778258237e-15,1
gene_26,2.06455778258237e-15,1
gene_27,2.06455778258237e-15,1
gene_28,2.06455778258237e-15,1
gene_29,2.06455778258237e-15,1
gene_30,6.77311012768087e-15,1
gene_31,2.06455778258237e-15,1
gene_32,2.06455778258237e-15,1
gene_33,2.06455778258237e-15,1
gene_34,2.06455778258237e-15,1
gene_35,2.06455778258237e-15,1
gene_36,2.06455778258237e-15,1
gene_37,2.06455778258237e-15,1
gene_38,2.06455778258237e-15,1
gene_39,2.06455778258237e-15,1
gene_40,3.52766152483379e-15,1
gene_41,3.52766152483379e-15,1
gene_42,2.06455778258237e-15,1
gene_43,2.06455778258237e-15,1
gene_44,2.06455778258237e-15,1
gene_45,2.06455778258237e-15,1
gene_46,2.06455778258237e-15,1
gene_47,2.06455778258237e-15,1
gene_48,2.06455778258237e-15,1
gene_49,2.06455778258237e-15,1
gene_50,1,0
gene_51,0.217084237062969,0
gene_52,1,0
gene_53,0.0840860249621976,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,0.0629358467081129,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,0.141913979735428,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
