,pvals_adj,spatially_variable
gene_0,0.0711052978469387,1
gene_1,3.992760536476895e-80,1
gene_2,2.604428471607893e-53,1
gene_3,1.041364167081683e-28,1
gene_4,5.017248531445582e-41,1
gene_5,5.231943964454211e-40,1
gene_6,3.0257732612817137e-99,1
gene_7,3.634823924275059e-43,1
gene_8,1.236909899181238e-17,1
gene_9,9.796858009647525e-70,1
gene_10,3.5754295867703544e-61,1
gene_11,3.352052584713128e-17,1
gene_12,3.5343583385047936e-19,1
gene_13,2.5545025405926366e-56,1
gene_14,5.891730569681942e-54,1
gene_15,5.449878677739893e-70,1
gene_16,1.8691076840393627e-22,1
gene_17,5.3368646583668415e-06,1
gene_18,6.144936632985306e-28,1
gene_19,2.565899732471217e-33,1
gene_20,3.369604051010465e-06,1
gene_21,9.339255699428069e-76,1
gene_22,1.4617440635711168e-86,1
gene_23,7.001760762284123e-55,1
gene_24,2.350100330345453e-108,1
gene_25,5.713839723235558e-08,1
gene_26,3.1505189222020814e-84,1
gene_27,0.007051407660620031,1
gene_28,2.444233592368851e-30,1
gene_29,1.4141411867275393e-12,1
gene_30,8.481022369533812e-36,1
gene_31,1.9058642185220465e-62,1
gene_32,3.3202563785035387e-09,1
gene_33,9.354410208773388e-66,1
gene_34,3.9180189999885376e-14,1
gene_35,2.9881215791083166e-55,1
gene_36,3.082702556127806e-26,1
gene_37,8.524719838031371e-71,1
gene_38,4.5584883698912626e-05,1
gene_39,1.6360308651099874e-18,1
gene_40,4.251819865715757e-18,1
gene_41,3.92197580422105e-62,1
gene_42,0.00026063708621844827,1
gene_43,1.6666720873993671e-62,1
gene_44,0.5466718371820264,1
gene_45,3.780197725695427e-13,1
gene_46,2.3676223821973845e-85,1
gene_47,1.7851822788438566e-39,1
gene_48,2.1251119544158548e-76,1
gene_49,5.240435929601397e-54,1
gene_50,0.1749222295840033,0
gene_51,0.4256454773616922,0
gene_52,0.5128493668657441,0
gene_53,0.49444820456772703,0
gene_54,0.4580058344328449,0
gene_55,0.0018224974858874982,0
gene_56,0.17117891329735851,0
gene_57,0.20823672942376353,0
gene_58,2.3754650944258306e-20,0
gene_59,0.7878540261857275,0
gene_60,0.3574485304772802,0
gene_61,0.4871470689746073,0
gene_62,0.6261562910045227,0
gene_63,0.7459584144191662,0
