,pval_sim_fdr_bh,spatially_variable
gene_0,0.034862641193696836,1
gene_1,0.034862641193696836,1
gene_2,0.034862641193696836,1
gene_3,0.034862641193696836,1
gene_4,0.034862641193696836,1
gene_5,0.034862641193696836,1
gene_6,0.034862641193696836,1
gene_7,0.034862641193696836,1
gene_8,0.034862641193696836,1
gene_9,0.034862641193696836,1
gene_10,0.034862641193696836,1
gene_11,0.034862641193696836,1
gene_12,0.034862641193696836,1
gene_13,0.034862641193696836,1
gene_14,0.034862641193696836,1
gene_15,0.034862641193696836,1
gene_16,0.034862641193696836,1
gene_17,0.034862641193696836,1
gene_18,0.034862641193696836,1
gene_19,0.034862641193696836,1
gene_20,0.034862641193696836,1
gene_21,0.034862641193696836,1
gene_22,0.034862641193696836,1
gene_23,0.034862641193696836,1
gene_24,0.034862641193696836,1
gene_25,0.034862641193696836,1
gene_26,0.034862641193696836,1
gene_27,0.034862641193696836,1
gene_28,0.034862641193696836,1
gene_29,0.034862641193696836,1
gene_30,0.034862641193696836,1
gene_31,0.034862641193696836,1
gene_32,0.034862641193696836,1
gene_33,0.034862641193696836,1
gene_34,0.034862641193696836,1
gene_35,0.034862641193696836,1
gene_36,0.034862641193696836,1
gene_37,0.034862641193696836,1
gene_38,0.034862641193696836,1
gene_39,0.034862641193696836,1
gene_40,0.034862641193696836,1
gene_41,0.034862641193696836,1
gene_42,0.034862641193696836,1
gene_43,0.034862641193696836,1
gene_44,0.034862641193696836,1
gene_45,0.034862641193696836,1
gene_46,0.034862641193696836,1
gene_47,0.034862641193696836,1
gene_48,0.034862641193696836,1
gene_49,0.034862641193696836,1
gene_50,0.32531824611032534,0
gene_51,0.2867664815262014,0
gene_52,0.3625362536253625,0
gene_53,0.26973851231276974,0
gene_54,0.4827246210098189,0
gene_55,0.20471972009230996,0
gene_56,0.2964368293116737,0
gene_57,0.4970376555727862,0
gene_58,0.1225370061758651,0
gene_59,0.32531824611032534,0
gene_60,0.28021670091537454,0
gene_61,0.25716857400025717,0
gene_62,0.1493683851143735,0
gene_63,0.16365272890925456,0
gene_64,0.3351897689768977,0
gene_65,0.3351897689768977,0
gene_66,0.3932636254279634,0
gene_67,0.034862641193696836,0
gene_68,0.37430572325525235,0
gene_69,0.1225370061758651,0
gene_70,0.21523891519586738,0
gene_71,0.1225370061758651,0
gene_72,0.4744224422442245,0
gene_73,0.1949013799017697,0
gene_74,0.3351897689768977,0
gene_75,0.1949013799017697,0
gene_76,0.034862641193696836,0
gene_77,0.25716857400025717,0
gene_78,0.3351897689768977,0
gene_79,0.37430572325525235,0
gene_80,0.034862641193696836,0
gene_81,0.322221571269553,0
gene_82,0.10532968190436065,0
gene_83,0.06266449429753101,0
gene_84,0.3932636254279634,0
gene_85,0.3351897689768977,0
gene_86,0.25716857400025717,0
gene_87,0.25716857400025717,0
gene_88,0.43095827439886847,0
gene_89,0.42369101775042367,0
gene_90,0.3974021255336543,0
gene_91,0.45877432570843285,0
gene_92,0.44004400440044006,0
gene_93,0.13751375137513752,0
gene_94,0.26973851231276974,0
gene_95,0.10532968190436065,0
gene_96,0.034862641193696836,0
gene_97,0.21523891519586738,0
gene_98,0.34272658035034276,0
gene_99,0.38080731150038083,0
gene_100,0.40504050405040504,0
gene_101,0.3974021255336543,0
gene_102,0.13751375137513752,0
gene_103,0.034862641193696836,0
gene_104,0.33003300330033003,0
gene_105,0.20471972009230996,0
gene_106,0.38080731150038083,0
gene_107,0.24064906490649068,0
gene_108,0.25086968156275086,0
gene_109,0.18111567254286404,0
gene_110,0.034862641193696836,0
gene_111,0.4744224422442245,0
gene_112,0.034862641193696836,0
gene_113,0.18111567254286404,0
gene_114,0.2964368293116737,0
gene_115,0.1493683851143735,0
gene_116,0.20471972009230996,0
gene_117,0.13751375137513752,0
gene_118,0.2867664815262014,0
gene_119,0.1493683851143735,0
gene_120,0.1225370061758651,0
gene_121,0.3536067892503536,0
gene_122,0.49104100693470154,0
gene_123,0.4744224422442245,0
gene_124,0.16365272890925456,0
gene_125,0.33003300330033003,0
gene_126,0.034862641193696836,0
gene_127,0.1949013799017697,0
gene_128,0.37430572325525235,0
gene_129,0.1225370061758651,0
gene_130,0.25716857400025717,0
gene_131,0.034862641193696836,0
gene_132,0.4451103005037346,0
gene_133,0.39082855653986454,0
gene_134,0.10532968190436065,0
gene_135,0.10532968190436065,0
gene_136,0.4539755285572225,0
gene_137,0.38080731150038083,0
gene_138,0.087361677344205,0
gene_139,0.1225370061758651,0
gene_140,0.4970376555727862,0
gene_141,0.13751375137513752,0
gene_142,0.3932636254279634,0
gene_143,0.3351897689768977,0
gene_144,0.3351897689768977,0
gene_145,0.37430572325525235,0
gene_146,0.28021670091537454,0
gene_147,0.087361677344205,0
gene_148,0.3351897689768977,0
gene_149,0.28021670091537454,0
gene_150,0.034862641193696836,0
gene_151,0.504950495049505,0
gene_152,0.4889377826671556,0
gene_153,0.49104100693470154,0
gene_154,0.25716857400025717,0
gene_155,0.32531824611032534,0
gene_156,0.06266449429753101,0
gene_157,0.1949013799017697,0
gene_158,0.06266449429753101,0
gene_159,0.3351897689768977,0
gene_160,0.06266449429753101,0
gene_161,0.33003300330033003,0
gene_162,0.3625362536253625,0
gene_163,0.034862641193696836,0
gene_164,0.22984441301272981,0
gene_165,0.034862641193696836,0
gene_166,0.20471972009230996,0
gene_167,0.13751375137513752,0
gene_168,0.10532968190436065,0
gene_169,0.3974021255336543,0
gene_170,0.1493683851143735,0
gene_171,0.087361677344205,0
gene_172,0.45877432570843285,0
gene_173,0.1493683851143735,0
gene_174,0.10532968190436065,0
gene_175,0.4889377826671556,0
gene_176,0.41440795663276736,0
gene_177,0.3351897689768977,0
gene_178,0.32531824611032534,0
gene_179,0.43095827439886847,0
gene_180,0.1493683851143735,0
gene_181,0.33003300330033003,0
gene_182,0.21523891519586738,0
gene_183,0.3932636254279634,0
gene_184,0.30940594059405935,0
gene_185,0.034862641193696836,0
gene_186,0.10532968190436065,0
gene_187,0.087361677344205,0
gene_188,0.20471972009230996,0
gene_189,0.06266449429753101,0
gene_190,0.22984441301272981,0
gene_191,0.2867664815262014,0
gene_192,0.4654311585004654,0
gene_193,0.32531824611032534,0
gene_194,0.34272658035034276,0
gene_195,0.47197516361805675,0
gene_196,0.37128712871287123,0
gene_197,0.37430572325525235,0
gene_198,0.3351897689768977,0
gene_199,0.034862641193696836,0
gene_200,0.24064906490649068,0
gene_201,0.25086968156275086,0
gene_202,0.40504050405040504,0
gene_203,0.24064906490649068,0
gene_204,0.47197516361805675,0
gene_205,0.06266449429753101,0
gene_206,0.2964368293116737,0
gene_207,0.13751375137513752,0
gene_208,0.4654311585004654,0
gene_209,0.25086968156275086,0
gene_210,0.034862641193696836,0
