,qval,spatially_variable
gene_0,0.0,1
gene_1,0.0,1
gene_2,0.0,1
gene_3,0.0,1
gene_4,0.0,1
gene_5,0.0,1
gene_6,0.0,1
gene_7,0.0,1
gene_8,0.0,1
gene_9,0.0,1
gene_10,0.0,1
gene_11,0.0,1
gene_12,0.0,1
gene_13,0.0,1
gene_14,0.05620476828060217,1
gene_15,1.9144423043376824e-06,1
gene_16,2.0816681711721685e-15,1
gene_17,0.0,1
gene_18,0.0,1
gene_19,0.0,1
gene_20,0.0,1
gene_21,0.0,1
gene_22,0.0,1
gene_23,0.0,1
gene_24,2.0391505022000412e-10,1
gene_25,0.0,1
gene_26,0.0,1
gene_27,0.0,1
gene_28,0.0,1
gene_29,0.0,1
gene_30,1.380273364739695e-08,1
gene_31,3.598744430474578e-08,1
gene_32,2.7078610356711136e-15,1
gene_33,0.0,1
gene_34,0.0,1
gene_35,0.0,1
gene_36,0.0,1
gene_37,0.0,1
gene_38,3.7017116322556496e-08,1
gene_39,0.0,1
gene_40,0.0,1
gene_41,6.60847038467355e-14,1
gene_42,0.0,1
gene_43,0.0,1
gene_44,0.0,1
gene_45,1.0572237529871131e-09,1
gene_46,0.0,1
gene_47,0.0,1
gene_48,0.016126962919926994,1
gene_49,0.0,1
gene_50,0.973369373762618,0
gene_51,0.973369373762618,0
gene_52,0.973369373762618,0
gene_53,0.973369373762618,0
gene_54,0.973369373762618,0
gene_55,0.4548244625656335,0
gene_56,0.973369373762618,0
gene_57,0.973369373762618,0
gene_58,0.973369373762618,0
gene_59,0.973369373762618,0
gene_60,0.973369373762618,0
gene_61,0.973369373762618,0
gene_62,0.973369373762618,0
gene_63,0.973369373762618,0
gene_64,0.973369373762618,0
gene_65,0.973369373762618,0
gene_66,0.973369373762618,0
gene_67,0.973369373762618,0
gene_68,0.973369373762618,0
gene_69,0.973369373762618,0
gene_70,0.973369373762618,0
gene_71,0.973369373762618,0
gene_72,0.973369373762618,0
gene_73,0.973369373762618,0
gene_74,0.973369373762618,0
gene_75,0.8828263542734627,0
gene_76,0.973369373762618,0
gene_77,0.973369373762618,0
gene_78,0.973369373762618,0
gene_79,0.973369373762618,0
gene_80,0.973369373762618,0
gene_81,0.973369373762618,0
gene_82,0.973369373762618,0
gene_83,0.973369373762618,0
gene_84,0.973369373762618,0
gene_85,0.973369373762618,0
gene_86,0.973369373762618,0
gene_87,0.973369373762618,0
gene_88,0.973369373762618,0
gene_89,0.973369373762618,0
gene_90,0.973369373762618,0
gene_91,0.973369373762618,0
gene_92,0.973369373762618,0
gene_93,0.973369373762618,0
gene_94,0.973369373762618,0
gene_95,0.973369373762618,0
gene_96,0.973369373762618,0
gene_97,0.8910189073911842,0
gene_98,0.973369373762618,0
gene_99,0.973369373762618,0
gene_100,0.973369373762618,0
gene_101,0.973369373762618,0
gene_102,0.973369373762618,0
gene_103,0.8828263542734627,0
gene_104,0.973369373762618,0
gene_105,0.973369373762618,0
gene_106,0.973369373762618,0
gene_107,0.973369373762618,0
gene_108,0.8549875522779512,0
gene_109,0.973369373762618,0
gene_110,0.973369373762618,0
gene_111,0.973369373762618,0
gene_112,0.7944351866495825,0
gene_113,0.973369373762618,0
gene_114,0.973369373762618,0
gene_115,0.8828263542734627,0
gene_116,0.973369373762618,0
gene_117,0.973369373762618,0
gene_118,0.973369373762618,0
gene_119,0.973369373762618,0
gene_120,0.973369373762618,0
gene_121,0.973369373762618,0
gene_122,0.973369373762618,0
gene_123,0.973369373762618,0
gene_124,0.973369373762618,0
gene_125,0.973369373762618,0
gene_126,0.973369373762618,0
gene_127,0.973369373762618,0
gene_128,0.973369373762618,0
gene_129,0.973369373762618,0
gene_130,0.973369373762618,0
gene_131,0.973369373762618,0
gene_132,0.973369373762618,0
gene_133,0.973369373762618,0
gene_134,0.973369373762618,0
gene_135,0.973369373762618,0
gene_136,0.291431401431707,0
gene_137,0.973369373762618,0
gene_138,0.973369373762618,0
gene_139,0.973369373762618,0
gene_140,0.973369373762618,0
gene_141,0.38882603084618483,0
gene_142,0.973369373762618,0
gene_143,0.973369373762618,0
gene_144,0.973369373762618,0
gene_145,0.973369373762618,0
gene_146,0.648334721952927,0
gene_147,0.973369373762618,0
gene_148,0.973369373762618,0
gene_149,0.973369373762618,0
gene_150,0.973369373762618,0
gene_151,0.973369373762618,0
gene_152,0.973369373762618,0
gene_153,0.973369373762618,0
gene_154,0.973369373762618,0
gene_155,0.973369373762618,0
gene_156,0.973369373762618,0
gene_157,0.973369373762618,0
gene_158,0.973369373762618,0
gene_159,0.973369373762618,0
gene_160,0.973369373762618,0
gene_161,0.8828263542734627,0
gene_162,0.973369373762618,0
gene_163,0.973369373762618,0
gene_164,0.973369373762618,0
gene_165,0.973369373762618,0
gene_166,0.973369373762618,0
gene_167,0.973369373762618,0
gene_168,0.973369373762618,0
gene_169,0.973369373762618,0
gene_170,0.973369373762618,0
gene_171,0.973369373762618,0
gene_172,0.973369373762618,0
gene_173,0.973369373762618,0
gene_174,0.8828263542734627,0
gene_175,0.973369373762618,0
gene_176,0.7425641072253403,0
gene_177,0.973369373762618,0
gene_178,0.973369373762618,0
gene_179,0.973369373762618,0
gene_180,0.973369373762618,0
gene_181,0.973369373762618,0
gene_182,0.973369373762618,0
gene_183,0.973369373762618,0
gene_184,0.973369373762618,0
gene_185,0.973369373762618,0
gene_186,0.973369373762618,0
gene_187,0.8828263542734627,0
gene_188,0.973369373762618,0
gene_189,0.7113987063238961,0
gene_190,0.973369373762618,0
gene_191,0.973369373762618,0
gene_192,0.973369373762618,0
gene_193,0.973369373762618,0
