,adjustedPval,spatially_variable
gene_0,1.39917986463555e-32,1
gene_1,7.86813342290251e-225,1
gene_2,2.26263483521173e-86,1
gene_3,1.48331587132049e-15,1
gene_4,8.96823766521778e-81,1
gene_5,1.34734939261154e-32,1
gene_6,4.50351143078639e-82,1
gene_7,1.86375904241639e-73,1
gene_8,6.86344574782895e-64,1
gene_9,4.88403176050112e-31,1
gene_10,1.3822673729961e-14,1
gene_11,7.02609245434993e-97,1
gene_12,1.19571890184021e-58,1
gene_13,3.9010120869239e-118,1
gene_14,2.02927953125059e-189,1
gene_15,1.62723319163261e-72,1
gene_16,2.96883752638267e-229,1
gene_17,0.00358622232678421,1
gene_18,4.06019429745647e-62,1
gene_19,5.82309249405166e-92,1
gene_20,1.1243768142593e-152,1
gene_21,1.94944948408288e-139,1
gene_22,1.62907456358384e-152,1
gene_23,4.32901580578771e-122,1
gene_24,9.51791464327579e-108,1
gene_25,1.13644456097943e-40,1
gene_26,7.63626709106046e-153,1
gene_27,1.65454534898989e-204,1
gene_28,5.07756422332042e-101,1
gene_29,1.01157606218027e-133,1
gene_30,2.84458689685055e-33,1
gene_31,3.80594691085024e-145,1
gene_32,0,1
gene_33,1.93215689017902e-73,1
gene_34,0,1
gene_35,7.20078880382831e-79,1
gene_36,5.08447233045718e-21,1
gene_37,7.58246505173371e-93,1
gene_38,6.82336045671228e-196,1
gene_39,1.65462880517924e-157,1
gene_40,3.07764577659868e-57,1
gene_41,3.19170409572535e-23,1
gene_42,2.69017071783124e-243,1
gene_43,3.16419510837338e-158,1
gene_44,2.4461780202709e-19,1
gene_45,6.46035349144119e-130,1
gene_46,1.29418865252693e-219,1
gene_47,3.16584884743529e-174,1
gene_48,7.8549656274898e-56,1
gene_49,4.22631824129904e-84,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,0.0180157377329263,0
gene_55,1,0
gene_56,1,0
gene_57,0.5781961527499,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,0.565111485367276,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,0.82190486128073,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,0.44916042203846,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,0.446498423542517,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,0.522671580745705,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,0.369771847075766,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,0.307058338523047,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,0.632837277059272,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,0.335205098197152,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,0.846803480578186,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,0.867634120014491,0
gene_203,0.534599603991411,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,0.846805364672444,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,0.928121718806664,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,0.27225629525903,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
