,sepal_score,spatially_variable
gene_0,0.065,1
gene_1,0.17200000000000001,1
gene_2,0.111,1
gene_3,0.023,1
gene_4,0.061,1
gene_5,0.035,1
gene_6,0.053,1
gene_7,0.082,1
gene_8,0.14300000000000002,1
gene_9,0.098,1
gene_10,0.068,1
gene_11,0.169,1
gene_12,0.10200000000000001,1
gene_13,0.001,1
gene_14,0.03,1
gene_15,0.109,1
gene_16,0.28200000000000003,1
gene_17,0.028,1
gene_18,0.025,1
gene_19,0.343,1
gene_20,0.234,1
gene_21,0.23700000000000002,1
gene_22,0.309,1
gene_23,0.133,1
gene_24,0.167,1
gene_25,0.353,1
gene_26,0.41000000000000003,1
gene_27,0.34700000000000003,1
gene_28,0.001,1
gene_29,0.126,1
gene_30,0.493,1
gene_31,0.123,1
gene_32,0.268,1
gene_33,0.5,1
gene_34,0.001,1
gene_35,0.037,1
gene_36,0.099,1
gene_37,0.151,1
gene_38,0.312,1
gene_39,0.20800000000000002,1
gene_40,0.059000000000000004,1
gene_41,0.075,1
gene_42,0.044,1
gene_43,0.177,1
gene_44,0.046,1
gene_45,0.276,1
gene_46,0.249,1
gene_47,0.093,1
gene_48,0.165,1
gene_49,0.197,1
gene_50,0.34600000000000003,0
gene_51,0.336,0
gene_52,0.343,0
gene_53,0.34500000000000003,0
gene_54,0.343,0
gene_55,0.338,0
gene_56,0.335,0
gene_57,0.332,0
gene_58,0.343,0
gene_59,0.334,0
gene_60,0.353,0
gene_61,0.342,0
gene_62,0.342,0
gene_63,0.343,0
gene_64,0.34,0
gene_65,0.342,0
gene_66,0.34600000000000003,0
gene_67,0.339,0
gene_68,0.332,0
gene_69,0.334,0
gene_70,0.34600000000000003,0
gene_71,0.34500000000000003,0
gene_72,0.35000000000000003,0
gene_73,0.342,0
gene_74,0.339,0
gene_75,0.337,0
gene_76,0.369,0
gene_77,0.34900000000000003,0
gene_78,0.34,0
gene_79,0.336,0
gene_80,0.339,0
gene_81,0.34,0
gene_82,0.34900000000000003,0
gene_83,0.34,0
gene_84,0.333,0
gene_85,0.335,0
gene_86,0.336,0
gene_87,0.34900000000000003,0
gene_88,0.334,0
gene_89,0.34400000000000003,0
gene_90,0.329,0
gene_91,0.34,0
gene_92,0.341,0
gene_93,0.34400000000000003,0
gene_94,0.339,0
gene_95,0.34500000000000003,0
gene_96,0.339,0
gene_97,0.34700000000000003,0
gene_98,0.339,0
gene_99,0.35100000000000003,0
gene_100,0.338,0
gene_101,0.338,0
gene_102,0.343,0
gene_103,0.354,0
gene_104,0.34,0
gene_105,0.335,0
gene_106,0.34500000000000003,0
gene_107,0.343,0
gene_108,0.336,0
gene_109,0.34800000000000003,0
gene_110,0.337,0
gene_111,0.34900000000000003,0
gene_112,0.342,0
gene_113,0.332,0
gene_114,0.34500000000000003,0
gene_115,0.337,0
gene_116,0.327,0
gene_117,0.35000000000000003,0
gene_118,0.332,0
gene_119,0.335,0
gene_120,0.34500000000000003,0
gene_121,0.34900000000000003,0
gene_122,0.331,0
gene_123,0.333,0
gene_124,0.34400000000000003,0
gene_125,0.334,0
gene_126,0.34400000000000003,0
gene_127,0.34800000000000003,0
gene_128,0.342,0
gene_129,0.339,0
gene_130,0.342,0
gene_131,0.328,0
gene_132,0.334,0
gene_133,0.34500000000000003,0
gene_134,0.329,0
gene_135,0.334,0
gene_136,0.342,0
gene_137,0.327,0
gene_138,0.355,0
gene_139,0.337,0
gene_140,0.333,0
gene_141,0.35000000000000003,0
gene_142,0.339,0
gene_143,0.353,0
gene_144,0.337,0
gene_145,0.336,0
gene_146,0.339,0
gene_147,0.34600000000000003,0
gene_148,0.327,0
gene_149,0.355,0
gene_150,0.34,0
gene_151,0.336,0
gene_152,0.35000000000000003,0
gene_153,0.341,0
gene_154,0.341,0
gene_155,0.334,0
gene_156,0.358,0
gene_157,0.336,0
gene_158,0.339,0
gene_159,0.35100000000000003,0
gene_160,0.34500000000000003,0
gene_161,0.352,0
gene_162,0.355,0
gene_163,0.34700000000000003,0
gene_164,0.342,0
gene_165,0.338,0
gene_166,0.339,0
gene_167,0.34400000000000003,0
gene_168,0.341,0
gene_169,0.335,0
gene_170,0.343,0
gene_171,0.34,0
gene_172,0.354,0
gene_173,0.34600000000000003,0
gene_174,0.34,0
gene_175,0.339,0
gene_176,0.339,0
gene_177,0.34900000000000003,0
gene_178,0.338,0
gene_179,0.34,0
gene_180,0.342,0
gene_181,0.339,0
gene_182,0.33,0
gene_183,0.34600000000000003,0
gene_184,0.36,0
gene_185,0.34800000000000003,0
gene_186,0.34600000000000003,0
gene_187,0.352,0
gene_188,0.332,0
gene_189,0.338,0
gene_190,0.34400000000000003,0
gene_191,0.324,0
gene_192,0.339,0
gene_193,0.35000000000000003,0
gene_194,0.317,0
gene_195,0.34500000000000003,0
gene_196,0.34400000000000003,0
gene_197,0.354,0
gene_198,0.337,0
gene_199,0.332,0
gene_200,0.34,0
gene_201,0.34900000000000003,0
gene_202,0.35000000000000003,0
gene_203,0.341,0
gene_204,0.337,0
gene_205,0.341,0
gene_206,0.343,0
gene_207,0.341,0
gene_208,0.325,0
gene_209,0.34600000000000003,0
gene_210,0.342,0
gene_211,0.34600000000000003,0
gene_212,0.336,0
gene_213,0.34,0
gene_214,0.333,0
gene_215,0.353,0
gene_216,0.33,0
gene_217,0.334,0
gene_218,0.34600000000000003,0
gene_219,0.329,0
gene_220,0.329,0
gene_221,0.34400000000000003,0
gene_222,0.341,0
gene_223,0.35100000000000003,0
gene_224,0.339,0
gene_225,0.34700000000000003,0
gene_226,0.331,0
gene_227,0.339,0
gene_228,0.34700000000000003,0
gene_229,0.34500000000000003,0
gene_230,0.34,0
gene_231,0.34600000000000003,0
gene_232,0.34500000000000003,0
gene_233,0.34500000000000003,0
gene_234,0.34600000000000003,0
gene_235,0.331,0
gene_236,0.342,0
gene_237,0.34600000000000003,0
gene_238,0.338,0
gene_239,0.35000000000000003,0
gene_240,0.341,0
gene_241,0.333,0
gene_242,0.343,0
gene_243,0.34900000000000003,0
gene_244,0.334,0
gene_245,0.355,0
gene_246,0.341,0
gene_247,0.338,0
gene_248,0.343,0
gene_249,0.35000000000000003,0
