,pvals_adj,spatially_variable
gene_0,5.363758579997386e-34,1
gene_1,4.432410974901965e-12,1
gene_2,5.744282657329977e-14,1
gene_3,1.8633413246275072e-32,1
gene_4,1.0495521814240406e-77,1
gene_5,1.2536076993471115e-23,1
gene_6,2.5898674089572178e-14,1
gene_7,3.3872028250338596e-06,1
gene_8,5.631312464581651e-27,1
gene_9,0.29400437956370196,1
gene_10,1.4077001380230337e-21,1
gene_11,1.6296122054459993e-27,1
gene_12,1.030836974342056e-07,1
gene_13,2.688290200401248e-42,1
gene_14,0.06711520804402678,1
gene_15,4.448583498162095e-08,1
gene_16,3.159330510000179e-44,1
gene_17,1.7815766153677584e-39,1
gene_18,3.059623211589397e-13,1
gene_19,7.754189756977649e-16,1
gene_20,8.096051736167377e-37,1
gene_21,6.036445012832706e-67,1
gene_22,2.8992463750049812e-28,1
gene_23,1.6984109759451955e-11,1
gene_24,0.12486714348664242,1
gene_25,2.5988828702956274e-18,1
gene_26,5.129432658081111e-69,1
gene_27,2.2091717073958907e-42,1
gene_28,8.153816562031267e-21,1
gene_29,1.636602098260748e-06,1
gene_30,2.06474956694935e-62,1
gene_31,5.141827734290796e-30,1
gene_32,3.4963528880452473e-43,1
gene_33,0.00032598906677860207,1
gene_34,1.1240678014493332e-16,1
gene_35,3.974688154633152e-38,1
gene_36,1.122058336820699e-29,1
gene_37,4.341411169614145e-05,1
gene_38,8.684799377361381e-08,1
gene_39,0.14149009337610155,1
gene_40,5.021148944611888e-72,1
gene_41,2.462474082605206e-20,1
gene_42,1.0769428330534263e-76,1
gene_43,0.0011269017083233343,1
gene_44,0.7193181056090353,1
gene_45,7.659118533162662e-37,1
gene_46,1.7701486783619285e-16,1
gene_47,5.38395939947447e-60,1
gene_48,1.9447228280109005e-12,1
gene_49,3.0596131631154026e-79,1
gene_50,0.6343689341479958,0
gene_51,0.852791926571762,0
gene_52,0.08666006911501951,0
gene_53,0.5332843388018044,0
gene_54,0.9214499505305525,0
gene_55,0.2118142237206596,0
gene_56,0.5645522203256853,0
gene_57,0.20173024291561206,0
gene_58,0.6757392200936422,0
gene_59,0.26374505661806913,0
gene_60,0.7838602128903226,0
gene_61,0.15175032047616205,0
gene_62,0.7623235442237325,0
gene_63,0.39524980433061024,0
gene_64,0.1239737767662164,0
gene_65,0.6588656280665456,0
gene_66,0.9391854010704407,0
gene_67,0.22591587991465853,0
gene_68,0.7263000109674845,0
gene_69,0.20705522342571273,0
gene_70,0.6753134904731358,0
gene_71,0.1980875115480717,0
gene_72,0.4072724000444496,0
gene_73,0.6661138711793366,0
gene_74,0.8757633582295741,0
gene_75,0.6343689341479958,0
gene_76,0.32530136742260957,0
gene_77,0.7693368185633213,0
gene_78,0.6753134904731358,0
gene_79,0.17131125487820642,0
gene_80,0.9328719187963193,0
gene_81,0.9214499505305525,0
gene_82,0.8750682486608116,0
gene_83,0.7693368185633213,0
gene_84,0.17521031919118343,0
gene_85,0.4889487542059124,0
gene_86,0.9776401004238735,0
gene_87,0.5043379676524163,0
gene_88,0.2118142237206596,0
gene_89,0.6661138711793366,0
gene_90,0.4858525914228405,0
gene_91,0.8757633582295741,0
gene_92,0.1562769831013956,0
gene_93,0.6535288291728475,0
gene_94,0.1820995016938634,0
gene_95,0.9214499505305525,0
gene_96,0.9214499505305525,0
gene_97,0.7617265690526919,0
gene_98,0.7778106518250683,0
gene_99,0.7293462973184691,0
gene_100,0.5442754502930408,0
gene_101,0.8541975816005026,0
gene_102,0.3175777449645652,0
gene_103,0.003218375860160148,0
gene_104,0.08666006911501951,0
gene_105,0.27965632077698427,0
gene_106,0.6296566389712243,0
gene_107,0.723216439959361,0
gene_108,0.5540405596449466,0
gene_109,0.6757392200936422,0
gene_110,0.15175032047616205,0
gene_111,0.7579003838549604,0
gene_112,0.720267116341344,0
gene_113,0.35615330382580107,0
gene_114,0.4108600972330703,0
gene_115,0.08666006911501951,0
gene_116,0.733683418077635,0
gene_117,0.9214499505305525,0
gene_118,0.852791926571762,0
gene_119,0.8010204573962464,0
gene_120,0.0010762577895668613,0
gene_121,0.6343689341479958,0
gene_122,0.05952094760204884,0
gene_123,0.5612592453537657,0
gene_124,0.3136403863642509,0
gene_125,0.1562769831013956,0
gene_126,0.6288832890593475,0
gene_127,0.852791926571762,0
gene_128,0.08422550297214874,0
gene_129,0.6646419265166452,0
gene_130,0.948365119859689,0
gene_131,0.6753134904731358,0
gene_132,0.1254347729031793,0
gene_133,0.6753134904731358,0
gene_134,0.6137504407369323,0
gene_135,0.4115387905456018,0
gene_136,0.23411005998556098,0
gene_137,0.7116592165212234,0
gene_138,0.6467542526250166,0
gene_139,0.751644094671614,0
gene_140,0.35615330382580107,0
gene_141,0.4425529637858129,0
gene_142,0.1254347729031793,0
gene_143,0.8799539211886633,0
gene_144,0.733683418077635,0
gene_145,0.3976735643446196,0
gene_146,0.0373443548823805,0
gene_147,0.9214499505305525,0
gene_148,0.7693368185633213,0
gene_149,0.6753134904731358,0
gene_150,0.8191669105885975,0
gene_151,0.16069794214509917,0
gene_152,0.4359666011089618,0
gene_153,0.733683418077635,0
gene_154,0.6753134904731358,0
gene_155,0.8133616831682782,0
gene_156,0.45014674804306504,0
gene_157,0.1980875115480717,0
gene_158,0.852791926571762,0
gene_159,0.4306971953438032,0
gene_160,0.1980875115480717,0
gene_161,0.45338579238956284,0
gene_162,0.17439674229769928,0
