,fdrs,spatially_variable
gene_0,1.0,1
gene_1,0.0,1
gene_2,7.522791050674088e-135,1
gene_3,1.0,1
gene_4,0.0,1
gene_5,2.0594607935213227e-90,1
gene_6,1.0,1
gene_7,4.347558433394733e-289,1
gene_8,1.0,1
gene_9,1.0270276787935852e-239,1
gene_10,1.0,1
gene_11,0.0,1
gene_12,1.1585856272492529e-21,1
gene_13,1.0,1
gene_14,1.0,1
gene_15,2.9372928545896065e-190,1
gene_16,1.0754332875854588e-111,1
gene_17,8.615342414122272e-60,1
gene_18,3.94807964832399e-284,1
gene_19,0.0006949599522475811,1
gene_20,7.62018008026928e-179,1
gene_21,1.0,1
gene_22,1.557215323386142e-39,1
gene_23,1.0352652600937142e-219,1
gene_24,1.734450081271522e-288,1
gene_25,1.5043499563528519e-86,1
gene_26,0.00020456101346239572,1
gene_27,1.8788799277610413e-275,1
gene_28,1.6020013992194082e-42,1
gene_29,1.3063967085311248e-58,1
gene_30,1.8788283422437877e-117,1
gene_31,1.0,1
gene_32,5.93213049513432e-23,1
gene_33,2.283826628273819e-260,1
gene_34,2.03585766991431e-39,1
gene_35,0.0,1
gene_36,0.0803239287421914,1
gene_37,1.0,1
gene_38,0.0,1
gene_39,1.0,1
gene_40,1.0,1
gene_41,1.0,1
gene_42,1.0,1
gene_43,2.6285547428505354e-86,1
gene_44,1.0,1
gene_45,1.0,1
gene_46,2.8407464770036117e-123,1
gene_47,1.9451575333368061e-233,1
gene_48,1.0317596077995258e-44,1
gene_49,0.0,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
gene_144,1.0,0
gene_145,1.0,0
gene_146,1.0,0
gene_147,1.0,0
gene_148,1.0,0
gene_149,1.0,0
gene_150,1.0,0
gene_151,1.0,0
gene_152,1.0,0
gene_153,1.0,0
gene_154,1.0,0
gene_155,1.0,0
gene_156,1.0,0
gene_157,1.0,0
gene_158,1.0,0
gene_159,1.0,0
gene_160,1.0,0
gene_161,1.0,0
gene_162,1.0,0
gene_163,1.0,0
gene_164,1.0,0
gene_165,1.0,0
gene_166,1.0,0
gene_167,1.0,0
gene_168,1.0,0
gene_169,1.0,0
gene_170,1.0,0
gene_171,1.0,0
gene_172,1.0,0
gene_173,1.0,0
gene_174,1.0,0
gene_175,1.0,0
gene_176,1.0,0
gene_177,1.0,0
gene_178,1.0,0
gene_179,1.0,0
gene_180,1.0,0
gene_181,1.0,0
gene_182,1.0,0
gene_183,1.0,0
gene_184,1.0,0
gene_185,1.0,0
gene_186,1.0,0
gene_187,1.0,0
gene_188,1.0,0
gene_189,1.0,0
gene_190,1.0,0
gene_191,1.0,0
gene_192,1.0,0
gene_193,1.0,0
gene_194,1.0,0
gene_195,1.0,0
gene_196,1.0,0
gene_197,1.0,0
gene_198,1.0,0
gene_199,1.0,0
gene_200,1.0,0
gene_201,1.0,0
gene_202,1.0,0
gene_203,1.0,0
gene_204,1.0,0
gene_205,1.0,0
gene_206,1.0,0
gene_207,1.0,0
