,padj,spatially_variable
gene_0,0,1
gene_1,0,1
gene_2,0,1
gene_3,0,1
gene_4,0,1
gene_5,0,1
gene_6,0,1
gene_7,0,1
gene_8,0,1
gene_9,0,1
gene_10,0,1
gene_11,0,1
gene_12,0,1
gene_13,0,1
gene_14,0,1
gene_15,0,1
gene_16,0,1
gene_17,0,1
gene_18,0,1
gene_19,0,1
gene_20,0,1
gene_21,0,1
gene_22,0,1
gene_23,0,1
gene_24,0,1
gene_25,0,1
gene_26,0,1
gene_27,0,1
gene_28,0,1
gene_29,0,1
gene_30,0,1
gene_31,0,1
gene_32,0,1
gene_33,0,1
gene_34,0,1
gene_35,0,1
gene_36,0,1
gene_37,0,1
gene_38,0,1
gene_39,0,1
gene_40,0,1
gene_41,0,1
gene_42,0,1
gene_43,0,1
gene_44,0,1
gene_45,0,1
gene_46,0,1
gene_47,0,1
gene_48,0,1
gene_49,0,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,0.421108252789452,0
gene_60,1,0
gene_61,1,0
gene_62,0.443385503162263,0
gene_63,1,0
gene_64,0.834784037959277,0
gene_65,1,0
gene_66,1,0
gene_67,0.935535722718809,0
gene_68,1,0
gene_69,1,0
gene_70,0.0634801489125808,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,0.339879214285251,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,0.950857716545845,0
gene_96,0.935469602931683,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,0.0828834820919406,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,0.435626450150932,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,0.443385503162263,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,0.0320131947143975,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,0.598012885745003,0
gene_187,1,0
gene_188,0.22856036438865,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,0.226450295396927,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,0.443385503162263,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,0.184951297636098,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,0.0197841700133186,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,0.421108252789452,0
gene_243,0.443385503162263,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
